date,report_name,report_agency,visits,language
2019-12-31 00:00:00,language,health-human-services,4520927,en-us
2019-12-31 00:00:00,language,health-human-services,585916,en-gb
2019-12-31 00:00:00,language,health-human-services,306116,es-es
2019-12-31 00:00:00,language,health-human-services,231333,es-419
2019-12-31 00:00:00,language,health-human-services,227085,zh-cn
2019-12-31 00:00:00,language,health-human-services,165430,es-us
2019-12-31 00:00:00,language,health-human-services,108574,en-ca
2019-12-31 00:00:00,language,health-human-services,79129,es-xl
2019-12-31 00:00:00,language,health-human-services,69621,es
2019-12-31 00:00:00,language,health-human-services,63703,en-au
2019-12-31 00:00:00,language,health-human-services,49209,fr-fr
2019-12-31 00:00:00,language,health-human-services,48598,es-mx
2019-12-31 00:00:00,language,health-human-services,42506,en-in
2019-12-31 00:00:00,language,health-human-services,37188,tr-tr
2019-12-31 00:00:00,language,health-human-services,36524,zh-tw
2019-12-31 00:00:00,language,health-human-services,33371,it-it
2019-12-31 00:00:00,language,health-human-services,28789,ko-kr
2019-12-31 00:00:00,language,health-human-services,28230,de-de
2019-12-31 00:00:00,language,health-human-services,23728,en
2019-12-31 00:00:00,language,health-human-services,23122,ja-jp
2019-12-31 00:00:00,language,health-human-services,20473,pt-br
2019-12-31 00:00:00,language,health-human-services,20029,nl-nl
2019-12-31 00:00:00,language,health-human-services,17088,ar
2019-12-31 00:00:00,language,health-human-services,16977,es-ar
2019-12-31 00:00:00,language,health-human-services,14851,ru-ru
2019-12-31 00:00:00,language,health-human-services,14137,fr
2019-12-31 00:00:00,language,health-human-services,13715,ja
2019-12-31 00:00:00,language,health-human-services,11797,he-il
2019-12-31 00:00:00,language,health-human-services,10330,pl-pl
2019-12-31 00:00:00,language,health-human-services,9633,en-ie
2019-12-31 00:00:00,language,health-human-services,9196,de
2019-12-31 00:00:00,language,health-human-services,9055,es-co
2019-12-31 00:00:00,language,health-human-services,8571,en-sg
2019-12-31 00:00:00,language,health-human-services,8475,sv-se
2019-12-31 00:00:00,language,health-human-services,8204,es-pe
2019-12-31 00:00:00,language,health-human-services,8019,el-gr
2019-12-31 00:00:00,language,health-human-services,7828,vi-vn
2019-12-31 00:00:00,language,health-human-services,7705,pt-pt
2019-12-31 00:00:00,language,health-human-services,7081,es-cl
2019-12-31 00:00:00,language,health-human-services,6080,id-id
2019-12-31 00:00:00,language,health-human-services,5803,en-za
2019-12-31 00:00:00,language,health-human-services,5594,th-th
2019-12-31 00:00:00,language,health-human-services,5324,fi-fi
2019-12-31 00:00:00,language,health-human-services,5240,en-ph
2019-12-31 00:00:00,language,health-human-services,5044,ca-es
2019-12-31 00:00:00,language,health-human-services,4895,nb-no
2019-12-31 00:00:00,language,health-human-services,4700,da-dk
2019-12-31 00:00:00,language,health-human-services,4613,ar-eg
2019-12-31 00:00:00,language,health-human-services,4256,fr-ca
2019-12-31 00:00:00,language,health-human-services,4205,c
2019-12-31 00:00:00,language,health-human-services,4017,ar-ae
2019-12-31 00:00:00,language,health-human-services,3911,tr
2019-12-31 00:00:00,language,health-human-services,3884,hu-hu
2019-12-31 00:00:00,language,health-human-services,3707,pl
2019-12-31 00:00:00,language,health-human-services,3671,cs-cz
2019-12-31 00:00:00,language,health-human-services,3514,de-ch
2019-12-31 00:00:00,language,health-human-services,3325,nl-be
2019-12-31 00:00:00,language,health-human-services,3276,fa-ir
2019-12-31 00:00:00,language,health-human-services,3166,ru
2019-12-31 00:00:00,language,health-human-services,3156,en-nz
2019-12-31 00:00:00,language,health-human-services,2980,id
2019-12-31 00:00:00,language,health-human-services,2780,it
2019-12-31 00:00:00,language,health-human-services,2739,ro-ro
2019-12-31 00:00:00,language,health-human-services,2324,nl
2019-12-31 00:00:00,language,health-human-services,2241,de-at
2019-12-31 00:00:00,language,health-human-services,2240,hr-hr
2019-12-31 00:00:00,language,health-human-services,2090,es-cr
2019-12-31 00:00:00,language,health-human-services,2054,es-ec
2019-12-31 00:00:00,language,health-human-services,1966,ca
2019-12-31 00:00:00,language,health-human-services,1946,fa
2019-12-31 00:00:00,language,health-human-services,1806,sk-sk
2019-12-31 00:00:00,language,health-human-services,1708,es-gt
2019-12-31 00:00:00,language,health-human-services,1658,fr-be
2019-12-31 00:00:00,language,health-human-services,1606,hi-in
2019-12-31 00:00:00,language,health-human-services,1566,vi
2019-12-31 00:00:00,language,health-human-services,1499,en-pk
2019-12-31 00:00:00,language,health-human-services,1495,fr-ch
2019-12-31 00:00:00,language,health-human-services,1472,zh-hk
2019-12-31 00:00:00,language,health-human-services,1467,ko
2019-12-31 00:00:00,language,health-human-services,1449,zh
2019-12-31 00:00:00,language,health-human-services,1395,sl-si
2019-12-31 00:00:00,language,health-human-services,1328,he
2019-12-31 00:00:00,language,health-human-services,1248,en-my
2019-12-31 00:00:00,language,health-human-services,1170,es-bo
2019-12-31 00:00:00,language,health-human-services,1101,bg-bg
2019-12-31 00:00:00,language,health-human-services,1075,ar-sa
2019-12-31 00:00:00,language,health-human-services,1026,es-pa
2019-12-31 00:00:00,language,health-human-services,1010,hi
2019-12-31 00:00:00,language,health-human-services,978,es-sv
2019-12-31 00:00:00,language,health-human-services,920,el
2019-12-31 00:00:00,language,health-human-services,917,es-ve
2019-12-31 00:00:00,language,health-human-services,887,sr-rs
2019-12-31 00:00:00,language,health-human-services,804,uk-ua
2019-12-31 00:00:00,language,health-human-services,793,th
2019-12-31 00:00:00,language,health-human-services,755,ro
2019-12-31 00:00:00,language,health-human-services,730,cs
2019-12-31 00:00:00,language,health-human-services,715,lt
2019-12-31 00:00:00,language,health-human-services,704,es-hn
2019-12-31 00:00:00,language,health-human-services,619,es-do
2019-12-31 00:00:00,language,health-human-services,619,es-uy
2019-12-31 00:00:00,language,health-human-services,569,sv
2019-12-31 00:00:00,language,health-human-services,554,lt-lt
