date,visits
2019-01-01 00:00:00,2764077
2019-01-02 00:00:00,5288391
2019-01-03 00:00:00,5499251
2019-01-04 00:00:00,4997187
2019-01-05 00:00:00,3274242
2019-01-06 00:00:00,3307660
2019-01-07 00:00:00,5478174
2019-01-08 00:00:00,5719282
2019-01-09 00:00:00,5781578
2019-01-10 00:00:00,5731219
2019-01-11 00:00:00,5055993
2019-01-12 00:00:00,3283159
2019-01-13 00:00:00,3514719
2019-01-14 00:00:00,5718307
2019-01-15 00:00:00,5877257
2019-01-16 00:00:00,5916523
2019-01-17 00:00:00,5827185
2019-01-18 00:00:00,4961778
2019-01-19 00:00:00,3279709
2019-01-20 00:00:00,3474165
2019-01-21 00:00:00,4864653
2019-01-22 00:00:00,5838758
2019-01-23 00:00:00,6015262
2019-01-24 00:00:00,5854886
2019-01-25 00:00:00,5112495
2019-01-26 00:00:00,3430200
2019-01-27 00:00:00,3735060
2019-01-28 00:00:00,6058783
2019-01-29 00:00:00,6159617
2019-01-30 00:00:00,6077264
2019-01-31 00:00:00,5977287
2019-02-01 00:00:00,5200209
2019-02-02 00:00:00,3449173
2019-02-03 00:00:00,3617778
2019-02-04 00:00:00,5942539
2019-02-05 00:00:00,6196240
2019-02-06 00:00:00,6219488
2019-02-07 00:00:00,6157321
2019-02-08 00:00:00,5309993
2019-02-09 00:00:00,3557249
2019-02-10 00:00:00,3921241
2019-02-11 00:00:00,6220863
2019-02-12 00:00:00,6224035
2019-02-13 00:00:00,6101464
2019-02-14 00:00:00,5525321
2019-02-15 00:00:00,5175186
2019-02-16 00:00:00,3609472
2019-02-17 00:00:00,3890124
2019-02-18 00:00:00,5550139
2019-02-19 00:00:00,6280951
2019-02-20 00:00:00,6246467
2019-02-21 00:00:00,6050678
2019-02-22 00:00:00,5220641
2019-02-23 00:00:00,3524378
2019-02-24 00:00:00,3916168
2019-02-25 00:00:00,6259537
2019-02-26 00:00:00,6350040
2019-02-27 00:00:00,6202461
2019-02-28 00:00:00,5996503
2019-03-01 00:00:00,5323525
2019-03-02 00:00:00,3583998
2019-03-03 00:00:00,3963214
2019-03-04 00:00:00,6200298
2019-03-05 00:00:00,9776979
2019-03-06 00:00:00,12727813
2019-03-07 00:00:00,12386303
2019-03-08 00:00:00,10327015
2019-03-09 00:00:00,7341498
2019-03-10 00:00:00,8150285
2019-03-11 00:00:00,12627035
2019-03-12 00:00:00,12738067
2019-03-13 00:00:00,13102611
2019-03-14 00:00:00,12189473
2019-03-15 00:00:00,10566419
2019-03-16 00:00:00,7457384
2019-03-17 00:00:00,8482354
2019-03-18 00:00:00,13067598
2019-03-19 00:00:00,13393673
2019-03-20 00:00:00,13168890
2019-03-21 00:00:00,13136181
2019-03-22 00:00:00,11284287
2019-03-23 00:00:00,8020549
2019-03-24 00:00:00,9250541
2019-03-25 00:00:00,13847634
2019-03-26 00:00:00,13960221
2019-03-27 00:00:00,13919069
2019-03-28 00:00:00,13246657
2019-03-29 00:00:00,11109142
2019-03-30 00:00:00,7851179
2019-03-31 00:00:00,9088334
2019-04-01 00:00:00,13548681
2019-04-02 00:00:00,13744669
2019-04-03 00:00:00,13791346
2019-04-04 00:00:00,13168142
2019-04-05 00:00:00,11254523
2019-04-06 00:00:00,7929720
2019-04-07 00:00:00,9365290
2019-04-08 00:00:00,13964332
2019-04-09 00:00:00,14056981
2019-04-10 00:00:00,13934676
2019-04-11 00:00:00,13292551
2019-04-12 00:00:00,11192985
2019-04-13 00:00:00,7843760
2019-04-14 00:00:00,8926897
2019-04-15 00:00:00,13172903
2019-04-16 00:00:00,13096528
2019-04-17 00:00:00,12794323
2019-04-18 00:00:00,11333604
2019-04-19 00:00:00,9640280
2019-04-20 00:00:00,7409094
2019-04-21 00:00:00,7896911
2019-04-22 00:00:00,12390516
2019-04-23 00:00:00,13362812
2019-04-24 00:00:00,13279884
2019-04-25 00:00:00,12916179
2019-04-26 00:00:00,11025619
2019-04-27 00:00:00,7749753
2019-04-28 00:00:00,8741436
2019-04-29 00:00:00,13259847
2019-04-30 00:00:00,12664141
2019-05-01 00:00:00,12022010
2019-05-02 00:00:00,12894631
2019-05-03 00:00:00,11012096
2019-05-04 00:00:00,7646804
2019-05-05 00:00:00,8726242
2019-05-06 00:00:00,12905105
2019-05-07 00:00:00,13274299
2019-05-08 00:00:00,13175659
2019-05-09 00:00:00,12609302
2019-05-10 00:00:00,10609153
2019-05-11 00:00:00,7328650
2019-05-12 00:00:00,7937930
2019-05-13 00:00:00,12952399
2019-05-14 00:00:00,13080690
2019-05-15 00:00:00,13007436
2019-05-16 00:00:00,12879093
2019-05-17 00:00:00,10847614
2019-05-18 00:00:00,7441693
2019-05-19 00:00:00,8422242
2019-05-20 00:00:00,12653529
2019-05-21 00:00:00,12941147
2019-05-22 00:00:00,12687647
2019-05-23 00:00:00,12183462
2019-05-24 00:00:00,10033663
2019-05-25 00:00:00,6820581
2019-05-26 00:00:00,7513456
2019-05-27 00:00:00,9706934
2019-05-28 00:00:00,12466186
2019-05-29 00:00:00,12232261
2019-05-30 00:00:00,11598071
2019-05-31 00:00:00,9839050
2019-06-01 00:00:00,6804114
2019-06-02 00:00:00,7709098
2019-06-03 00:00:00,11667600
2019-06-04 00:00:00,11700875
2019-06-05 00:00:00,11549874
2019-06-06 00:00:00,11239840
2019-06-07 00:00:00,9718527
2019-06-08 00:00:00,6866028
2019-06-09 00:00:00,7729145
2019-06-10 00:00:00,11738119
2019-06-11 00:00:00,11976598
2019-06-12 00:00:00,11942716
2019-06-13 00:00:00,11538024
2019-06-14 00:00:00,9735371
2019-06-15 00:00:00,6811480
2019-06-16 00:00:00,7418041
2019-06-17 00:00:00,11721876
2019-06-18 00:00:00,11891233
2019-06-19 00:00:00,11727820
2019-06-20 00:00:00,11145104
2019-06-21 00:00:00,9583896
2019-06-22 00:00:00,6769920
2019-06-23 00:00:00,7577819
2019-06-24 00:00:00,11575301
2019-06-25 00:00:00,11651815
2019-06-26 00:00:00,11390550
2019-06-27 00:00:00,11222190
2019-06-28 00:00:00,9912718
2019-06-29 00:00:00,6786826
2019-06-30 00:00:00,7344860
2019-07-01 00:00:00,10965962
2019-07-02 00:00:00,11279773
2019-07-03 00:00:00,10616410
2019-07-04 00:00:00,8427911
2019-07-05 00:00:00,8796265
2019-07-06 00:00:00,6663380
2019-07-07 00:00:00,7534329
2019-07-08 00:00:00,11411340
2019-07-09 00:00:00,11487854
2019-07-10 00:00:00,11433708
2019-07-11 00:00:00,11090425
2019-07-12 00:00:00,9559923
2019-07-13 00:00:00,6705449
2019-07-14 00:00:00,7333951
2019-07-15 00:00:00,11074754
2019-07-16 00:00:00,11312245
2019-07-17 00:00:00,11531700
2019-07-18 00:00:00,11057609
2019-07-19 00:00:00,9459213
2019-07-20 00:00:00,6670518
2019-07-21 00:00:00,7406951
2019-07-22 00:00:00,11247477
2019-07-23 00:00:00,11366679
2019-07-24 00:00:00,11115712
2019-07-25 00:00:00,10764990
2019-07-26 00:00:00,9272012
2019-07-27 00:00:00,6569354
2019-07-28 00:00:00,7265383
2019-07-29 00:00:00,11057309
2019-07-30 00:00:00,11195068
2019-07-31 00:00:00,10960144
2019-08-01 00:00:00,10582725
2019-08-02 00:00:00,9219136
2019-08-03 00:00:00,6582832
2019-08-04 00:00:00,7164327
2019-08-05 00:00:00,10787747
2019-08-06 00:00:00,11092984
2019-08-07 00:00:00,11089503
2019-08-08 00:00:00,10732566
2019-08-09 00:00:00,9180921
2019-08-10 00:00:00,6473405
2019-08-11 00:00:00,6943304
2019-08-12 00:00:00,10719403
2019-08-13 00:00:00,11133315
2019-08-14 00:00:00,10922021
2019-08-15 00:00:00,10328823
2019-08-16 00:00:00,9348364
2019-08-17 00:00:00,6779136
2019-08-18 00:00:00,7519910
2019-08-19 00:00:00,11346028
2019-08-20 00:00:00,11566334
2019-08-21 00:00:00,11550272
2019-08-22 00:00:00,11181261
2019-08-23 00:00:00,9598970
2019-08-24 00:00:00,6789800
2019-08-25 00:00:00,7592423
2019-08-26 00:00:00,11535614
2019-08-27 00:00:00,11939759
2019-08-28 00:00:00,11855849
2019-08-29 00:00:00,11613190
2019-08-30 00:00:00,9733471
2019-08-31 00:00:00,6745482
2019-09-01 00:00:00,7352322
2019-09-02 00:00:00,9422429
2019-09-03 00:00:00,12009048
2019-09-04 00:00:00,12283460
2019-09-05 00:00:00,11940427
2019-09-06 00:00:00,10408243
2019-09-07 00:00:00,7384385
2019-09-08 00:00:00,8413812
2019-09-09 00:00:00,12586404
2019-09-10 00:00:00,12884612
2019-09-11 00:00:00,12926202
2019-09-12 00:00:00,12412205
2019-09-13 00:00:00,10541148
2019-09-14 00:00:00,7491971
2019-09-15 00:00:00,8600717
2019-09-16 00:00:00,12833986
2019-09-17 00:00:00,13179722
2019-09-18 00:00:00,13168151
2019-09-19 00:00:00,12682142
2019-09-20 00:00:00,10739582
2019-09-21 00:00:00,7688875
2019-09-22 00:00:00,9002598
2019-09-23 00:00:00,13698032
2019-09-24 00:00:00,13882615
2019-09-25 00:00:00,13672896
2019-09-26 00:00:00,13193166
2019-09-27 00:00:00,11271366
2019-09-28 00:00:00,7943221
2019-09-29 00:00:00,9211042
2019-09-30 00:00:00,13446291
2019-10-01 00:00:00,13460028
2019-10-02 00:00:00,13289334
