cases,deaths,daily_cases,daily_deaths
13,0,5.0,0.0
47,0,6.0,0.0
82,0,1.0,0.0
100,0,3.0,0.0
192,0,15.0,0.0
431,4,58.0,3.0
1904,96,459.0,19.0
13419,315,3053.0,46.0
106769,1677,29473.0,390.0
620937,10559,109413.0,2260.0
1741007,47814,195655.0,8138.0
3254319,131621,220108.0,13993.0
4701546,237964,199347.0,15330.0
6133054,342257,213400.0,14401.0
7548470,437711,194346.0,13236.0
8842811,525675,171486.0,11949.0
9973559,599012,156938.0,9803.0
11089259,661231,157705.0,8112.0
12132213,710137,147831.0,6699.0
13209313,756442,154132.0,6043.0
14267662,796379,153023.0,5346.0
15458776,828282,187956.0,4206.0
17094840,864227,271023.0,5841.0
19313210,899593,345346.0,4126.0
21951949,930405,407497.0,5036.0
25096938,966890,466847.0,5396.0
28343823,1008880,459428.0,6380.0
31486257,1065946,434737.0,8584.0
34249821,1116839,377147.0,7149.0
36855107,1168270,361226.0,7429.0
39114373,1217713,296186.0,6778.0
41185982,1263272,295120.0,6291.0
43201108,1305317,283729.0,5836.0
44971863,1341346,245515.0,5138.0
46905228,1381323,287736.0,5409.0
49065652,1417579,313670.0,5235.0
51188365,1452824,305955.0,5004.0
53628666,1487611,370067.0,5000.0
56297437,1522288,398722.0,4935.0
59416661,1560205,488992.0,5623.0
63206579,1599919,579846.0,5776.0
67974392,1645874,777926.0,7113.0
74546647,1699426,1052533.0,8035.0
82624023,1764858,1199568.0,10513.0
90888493,1840442,1134434.0,10160.0
99566868,1931121,1379793.0,15558.0
109982936,2046173,1541442.0,17019.0
120703661,2171670,1511580.0,18472.0
130585257,2294110,1294310.0,15443.0
78747204,1362570,850013.0,12797.0
