week,visits
1,17178531
2,30860450
3,31071805
4,39590160
5,50224553
6,44406592
7,39417213
8,40238480
9,67125228
10,84650727
11,162995980
12,173484999
13,130117969
14,110685272
15,87830683
16,75543931
17,67556449
18,67742207
19,60662036
20,57166753
21,57809542
22,49574698
23,45067883
24,45554116
25,46392677
26,55727891
27,55210278
28,60619907
29,62330496
30,60892339
31,58204674
32,53940366
33,50671027
34,48905474
35,51690004
36,50217716
37,47218137
38,48058311
39,51236503
40,50217302
41,54206214
42,54127624
43,54129009
44,55362777
45,52895998
46,59240622
47,62169718
48,57674007
49,60598914
50,59643951
51,60248122
52,44651933
53,32026692
