date,visits
2020-01-01 00:00:00,2623003
2020-01-02 00:00:00,4232298
2020-01-03 00:00:00,4188806
2020-01-04 00:00:00,3077196
2020-01-05 00:00:00,3057228
2020-01-06 00:00:00,4521368
2020-01-07 00:00:00,4903755
2020-01-08 00:00:00,5111557
2020-01-09 00:00:00,5246057
2020-01-10 00:00:00,4562750
2020-01-11 00:00:00,3175350
2020-01-12 00:00:00,3339613
2020-01-13 00:00:00,5020123
2020-01-14 00:00:00,5078992
2020-01-15 00:00:00,5102250
2020-01-16 00:00:00,4965123
2020-01-17 00:00:00,4400928
2020-01-18 00:00:00,3196246
2020-01-19 00:00:00,3308143
2020-01-20 00:00:00,4661794
2020-01-21 00:00:00,5940237
2020-01-22 00:00:00,6151549
2020-01-23 00:00:00,6292252
2020-01-24 00:00:00,5997129
2020-01-25 00:00:00,4956508
2020-01-26 00:00:00,5590691
2020-01-27 00:00:00,7847283
2020-01-28 00:00:00,7941967
2020-01-29 00:00:00,8038946
2020-01-30 00:00:00,8337272
2020-01-31 00:00:00,7503083
2020-02-01 00:00:00,5376058
2020-02-02 00:00:00,5179944
2020-02-03 00:00:00,7145841
2020-02-04 00:00:00,7326968
2020-02-05 00:00:00,7083911
2020-02-06 00:00:00,7146057
2020-02-07 00:00:00,6168101
2020-02-08 00:00:00,4711432
2020-02-09 00:00:00,4824282
2020-02-10 00:00:00,6957358
2020-02-11 00:00:00,6762586
2020-02-12 00:00:00,6557469
2020-02-13 00:00:00,6244745
2020-02-14 00:00:00,4871207
2020-02-15 00:00:00,3883647
2020-02-16 00:00:00,4140201
2020-02-17 00:00:00,5761017
2020-02-18 00:00:00,6329096
2020-02-19 00:00:00,6949161
2020-02-20 00:00:00,6575306
2020-02-21 00:00:00,5377508
2020-02-22 00:00:00,4295826
2020-02-23 00:00:00,4950566
2020-02-24 00:00:00,7281672
2020-02-25 00:00:00,9547747
2020-02-26 00:00:00,11928996
2020-02-27 00:00:00,11716925
2020-02-28 00:00:00,10740027
2020-02-29 00:00:00,7986919
2020-03-01 00:00:00,7922942
2020-03-02 00:00:00,12851342
2020-03-03 00:00:00,12843457
2020-03-04 00:00:00,13736247
2020-03-05 00:00:00,14911268
2020-03-06 00:00:00,12556602
2020-03-07 00:00:00,8872493
2020-03-08 00:00:00,8879318
2020-03-09 00:00:00,15960376
2020-03-10 00:00:00,18132853
2020-03-11 00:00:00,23421305
2020-03-12 00:00:00,30624884
2020-03-13 00:00:00,29922292
2020-03-14 00:00:00,21613074
2020-03-15 00:00:00,23321196
2020-03-16 00:00:00,30990445
2020-03-17 00:00:00,28430232
2020-03-18 00:00:00,26509840
2020-03-19 00:00:00,25678521
2020-03-20 00:00:00,23753820
