domain,week,visits
3dprint.nih.gov,16,2100
3dprint.nih.gov,17,4643
3dprint.nih.gov,18,4465
3dprint.nih.gov,19,4003
3dprint.nih.gov,20,4003
3dprint.nih.gov,21,3710
3dprint.nih.gov,22,3425
3dprint.nih.gov,23,3658
3dprint.nih.gov,24,3391
3dprint.nih.gov,25,3191
3dprint.nih.gov,26,3391
3dprint.nih.gov,27,3145
3dprint.nih.gov,28,3247
3dprint.nih.gov,29,3969
3dprint.nih.gov,30,3320
3dprint.nih.gov,31,3557
3dprint.nih.gov,32,3485
3dprint.nih.gov,33,3326
3dprint.nih.gov,34,3466
3dprint.nih.gov,35,3567
3dprint.nih.gov,36,3793
3dprint.nih.gov,37,3726
3dprint.nih.gov,38,3744
3dprint.nih.gov,39,3897
3dprint.nih.gov,40,3816
3dprint.nih.gov,41,3953
3dprint.nih.gov,42,4959
3dprint.nih.gov,43,3824
3dprint.nih.gov,44,4270
3dprint.nih.gov,45,4535
3dprint.nih.gov,46,4288
3dprint.nih.gov,47,4155
3dprint.nih.gov,48,4828
3dprint.nih.gov,49,4648
3dprint.nih.gov,50,4267
3dprint.nih.gov,51,4230
3dprint.nih.gov,52,3262
4innovation-dev.cms.gov,26,216
4innovation-impl.cms.gov,5,228
4innovation-impl.cms.gov,8,272
4innovation-impl.cms.gov,20,107
4innovation-impl.cms.gov,28,116
4innovation-impl.cms.gov,29,275
4innovation-impl.cms.gov,45,209
4innovation-impl.cms.gov,49,153
4innovation-test.cms.gov,1,1030
4innovation-test.cms.gov,2,951
4innovation-test.cms.gov,3,845
4innovation-test.cms.gov,4,889
4innovation-test.cms.gov,5,941
4innovation-test.cms.gov,6,297
4innovation-test.cms.gov,7,312
4innovation-test.cms.gov,8,374
4innovation-test.cms.gov,9,149
4innovation-test.cms.gov,10,591
4innovation-test.cms.gov,11,444
4innovation-test.cms.gov,13,223
4innovation-test.cms.gov,14,445
4innovation-test.cms.gov,15,222
4innovation-test.cms.gov,16,545
4innovation-test.cms.gov,17,526
4innovation-test.cms.gov,19,374
4innovation-test.cms.gov,20,270
4innovation-test.cms.gov,21,668
4innovation-test.cms.gov,23,650
4innovation-test.cms.gov,24,107
4innovation-test.cms.gov,26,205
4innovation-test.cms.gov,27,206
4innovation-test.cms.gov,28,405
4innovation-test.cms.gov,29,534
4innovation-test.cms.gov,30,101
4innovation-test.cms.gov,31,234
4innovation-test.cms.gov,32,220
4innovation-test.cms.gov,33,129
4innovation-test.cms.gov,35,270
4innovation-test.cms.gov,36,477
4innovation-test.cms.gov,37,281
4innovation-test.cms.gov,38,103
4innovation-test.cms.gov,40,356
4innovation-test.cms.gov,43,102
4innovation-test.cms.gov,45,121
4innovation-test.cms.gov,46,110
4innovation-test.cms.gov,47,136
4innovation-test.cms.gov,48,104
4innovation-test.cms.gov,50,142
4innovation-test.cms.gov,52,230
4innovation.cms.gov,1,909
4innovation.cms.gov,2,1336
4innovation.cms.gov,3,119
4innovation.cms.gov,4,223
4innovation.cms.gov,5,759
4innovation.cms.gov,6,671
4innovation.cms.gov,7,1391
4innovation.cms.gov,8,1324
4innovation.cms.gov,9,1446
4innovation.cms.gov,10,1182
4innovation.cms.gov,11,1692
4innovation.cms.gov,12,1605
4innovation.cms.gov,13,1459
4innovation.cms.gov,14,1593
4innovation.cms.gov,15,1933
4innovation.cms.gov,16,1465
4innovation.cms.gov,17,1254
4innovation.cms.gov,18,1371
4innovation.cms.gov,19,1347
4innovation.cms.gov,20,1251
4innovation.cms.gov,21,1320
4innovation.cms.gov,22,1227
4innovation.cms.gov,23,2028
4innovation.cms.gov,24,2117
4innovation.cms.gov,25,2106
4innovation.cms.gov,26,1826
4innovation.cms.gov,27,1486
4innovation.cms.gov,28,1819
4innovation.cms.gov,29,1903
4innovation.cms.gov,30,2061
4innovation.cms.gov,31,1554
4innovation.cms.gov,32,1767
4innovation.cms.gov,33,1685
4innovation.cms.gov,34,5795
4innovation.cms.gov,35,8116
4innovation.cms.gov,36,6571
4innovation.cms.gov,37,5929
4innovation.cms.gov,38,5020
4innovation.cms.gov,39,5353
4innovation.cms.gov,40,2308
4innovation.cms.gov,41,2628
4innovation.cms.gov,42,3973
4innovation.cms.gov,43,3207
4innovation.cms.gov,44,3475
4innovation.cms.gov,45,4162
4innovation.cms.gov,46,3161
4innovation.cms.gov,47,1846
4innovation.cms.gov,48,2582
4innovation.cms.gov,49,2945
4innovation.cms.gov,50,4141
4innovation.cms.gov,51,2570
4innovation.cms.gov,52,1935
58000.nih.gov,1,113
58000.nih.gov,2,127
58000.nih.gov,3,103
58000.nih.gov,4,217
58000.nih.gov,5,118
58000.nih.gov,7,134
58000.nih.gov,8,221
58000.nih.gov,9,112
58000.nih.gov,10,221
58000.nih.gov,11,116
58000.nih.gov,12,527
58000.nih.gov,13,217
58000.nih.gov,14,104
58000.nih.gov,15,109
58000.nih.gov,16,103
58000.nih.gov,17,101
58000.nih.gov,18,375
58000.nih.gov,19,101
58000.nih.gov,20,110
58000.nih.gov,21,449
58000.nih.gov,22,338
58000.nih.gov,23,736
58000.nih.gov,24,339
58000.nih.gov,25,534
58000.nih.gov,26,535
58000.nih.gov,27,369
58000.nih.gov,28,460
58000.nih.gov,29,404
58000.nih.gov,30,447
58000.nih.gov,31,485
58000.nih.gov,32,373
58000.nih.gov,33,587
58000.nih.gov,34,330
58000.nih.gov,35,495
58000.nih.gov,36,113
58000.nih.gov,37,695
58000.nih.gov,38,508
58000.nih.gov,39,443
58000.nih.gov,40,466
58000.nih.gov,41,127
58000.nih.gov,42,332
58000.nih.gov,43,219
58000.nih.gov,44,664
58000.nih.gov,45,388
58000.nih.gov,46,489
58000.nih.gov,47,240
