week,visits
1,121769313
2,129646079
3,129981019
4,132687002
5,128240523
6,123462588
7,121882486
8,128012334
9,134266994
10,137244364
11,133725691
12,132116336
13,123616138
14,132512800
15,131968305
16,132025864
17,129267527
18,123280484
19,125692162
20,121593543
21,116512169
22,110209394
23,113625853
24,110224289
25,110245879
26,105756800
27,105180229
28,111870452
29,114759931
30,126638403
31,126797026
32,128124253
33,126099099
34,133596765
35,123658059
36,124736122
37,128240931
38,126227221
39,127485000
40,126591848
41,125127685
42,132259970
43,129880056
44,131368806
45,133521920
46,132998195
47,117567144
48,135253850
49,128989398
50,127227784
51,111826017
52,95866205
53,37182789
