date,report_name,report_agency,domain,visits
2021-12-31 00:00:00,second-level-domain,health-human-services,cdc.gov,4848804
2021-12-31 00:00:00,second-level-domain,health-human-services,medlineplus.gov,1254176
2021-12-31 00:00:00,second-level-domain,health-human-services,fda.gov,486567
2021-12-31 00:00:00,second-level-domain,health-human-services,vaccines.gov,310864
2021-12-31 00:00:00,second-level-domain,health-human-services,healthcare.gov,247205
2021-12-31 00:00:00,second-level-domain,health-human-services,hhs.gov,239572
2021-12-31 00:00:00,second-level-domain,health-human-services,clinicaltrials.gov,133421
2021-12-31 00:00:00,second-level-domain,health-human-services,cancer.gov,106964
2021-12-31 00:00:00,second-level-domain,health-human-services,medicare.gov,105891
2021-12-31 00:00:00,second-level-domain,health-human-services,drugabuse.gov,67663
2021-12-31 00:00:00,second-level-domain,health-human-services,cms.gov,63398
2021-12-31 00:00:00,second-level-domain,health-human-services,nih.gov,49590
2021-12-31 00:00:00,second-level-domain,health-human-services,samhsa.gov,23235
2021-12-31 00:00:00,second-level-domain,health-human-services,genome.gov,23061
2021-12-31 00:00:00,second-level-domain,health-human-services,womenshealth.gov,17787
2021-12-31 00:00:00,second-level-domain,health-human-services,hrsa.gov,12773
2021-12-31 00:00:00,second-level-domain,health-human-services,vacunas.gov,12421
2021-12-31 00:00:00,second-level-domain,health-human-services,medicaid.gov,11636
2021-12-31 00:00:00,second-level-domain,health-human-services,hiv.gov,10916
2021-12-31 00:00:00,second-level-domain,health-human-services,grants.gov,10666
2021-12-31 00:00:00,second-level-domain,health-human-services,cuidadodesalud.gov,9996
2021-12-31 00:00:00,second-level-domain,health-human-services,health.gov,8767
2021-12-31 00:00:00,second-level-domain,health-human-services,foodsafety.gov,8327
2021-12-31 00:00:00,second-level-domain,health-human-services,healthit.gov,7999
2021-12-31 00:00:00,second-level-domain,health-human-services,ahrq.gov,6618
2021-12-31 00:00:00,second-level-domain,health-human-services,ihs.gov,5101
2021-12-31 00:00:00,second-level-domain,health-human-services,stopbullying.gov,4623
2021-12-31 00:00:00,second-level-domain,health-human-services,uspreventiveservicestaskforce.org,2524
2021-12-31 00:00:00,second-level-domain,health-human-services,childcare.gov,2451
2021-12-31 00:00:00,second-level-domain,health-human-services,findtreatment.gov,2385
2021-12-31 00:00:00,second-level-domain,health-human-services,acl.gov,2318
2021-12-31 00:00:00,second-level-domain,health-human-services,smokefree.gov,2202
2021-12-31 00:00:00,second-level-domain,health-human-services,mentalhealth.gov,2198
2021-12-31 00:00:00,second-level-domain,health-human-services,simplereport.gov,2113
2021-12-31 00:00:00,second-level-domain,health-human-services,youth.gov,1948
2021-12-31 00:00:00,second-level-domain,health-human-services,insurekidsnow.gov,1944
2021-12-31 00:00:00,second-level-domain,health-human-services,organdonor.gov,1879
2021-12-31 00:00:00,second-level-domain,health-human-services,healthypeople.gov,1883
2021-12-31 00:00:00,second-level-domain,health-human-services,donaciondeorganos.gov,1415
2021-12-31 00:00:00,second-level-domain,health-human-services,fatherhood.gov,1027
2021-12-31 00:00:00,second-level-domain,health-human-services,usphs.gov,701
2021-12-31 00:00:00,second-level-domain,health-human-services,alzheimers.gov,637
2021-12-31 00:00:00,second-level-domain,health-human-services,girlshealth.gov,315
