domain,week,visits
acl.gov,1,30625
acl.gov,2,36351
acl.gov,3,35199
acl.gov,4,36112
acl.gov,5,37543
acl.gov,6,36482
acl.gov,7,37571
acl.gov,8,36065
acl.gov,9,39817
acl.gov,10,38759
acl.gov,11,36206
acl.gov,12,35399
acl.gov,13,34488
acl.gov,14,35490
acl.gov,15,34523
acl.gov,16,39572
acl.gov,17,41293
acl.gov,18,41337
acl.gov,19,38062
acl.gov,20,36544
acl.gov,21,32914
acl.gov,22,28502
acl.gov,23,32689
acl.gov,24,54262
acl.gov,25,56649
acl.gov,26,52102
acl.gov,27,51374
acl.gov,28,49651
acl.gov,29,44526
acl.gov,30,66595
acl.gov,31,114392
acl.gov,32,114259
acl.gov,33,100854
acl.gov,34,123012
acl.gov,35,139543
acl.gov,36,131909
acl.gov,37,137374
acl.gov,38,96561
acl.gov,39,128615
acl.gov,40,119270
acl.gov,41,132663
acl.gov,42,112277
acl.gov,43,64561
acl.gov,44,51386
acl.gov,45,35340
acl.gov,46,65582
acl.gov,47,111004
acl.gov,48,134384
acl.gov,49,130625
acl.gov,50,117257
acl.gov,51,117517
acl.gov,52,97978
agingstats.gov,8,107
agingstats.gov,23,137
agingstats.gov,25,151
agingstats.gov,40,165
ahrq.gov,1,99209
ahrq.gov,2,114765
ahrq.gov,3,124853
ahrq.gov,4,137517
ahrq.gov,5,162412
ahrq.gov,6,144472
ahrq.gov,7,149696
ahrq.gov,8,144900
ahrq.gov,9,147276
ahrq.gov,10,144362
ahrq.gov,11,171695
ahrq.gov,12,147589
ahrq.gov,13,144907
ahrq.gov,14,163930
ahrq.gov,15,129475
ahrq.gov,16,133154
ahrq.gov,17,130597
ahrq.gov,18,225061
ahrq.gov,19,320573
ahrq.gov,20,413578
ahrq.gov,21,212265
ahrq.gov,22,177375
ahrq.gov,23,119258
ahrq.gov,24,115893
ahrq.gov,25,113334
ahrq.gov,26,167404
ahrq.gov,27,107027
ahrq.gov,28,116060
ahrq.gov,29,146660
ahrq.gov,30,143496
ahrq.gov,31,138511
ahrq.gov,32,107809
ahrq.gov,33,109281
ahrq.gov,34,117569
ahrq.gov,35,136657
ahrq.gov,36,128586
ahrq.gov,37,140863
ahrq.gov,38,142982
ahrq.gov,39,139774
ahrq.gov,40,146103
ahrq.gov,41,139397
ahrq.gov,42,140750
ahrq.gov,43,140177
ahrq.gov,44,150349
ahrq.gov,45,188987
ahrq.gov,46,136537
ahrq.gov,47,108343
ahrq.gov,48,136679
ahrq.gov,49,178015
ahrq.gov,50,106954
ahrq.gov,51,74199
