domain,week,visits
60plus.smokefree.gov,6,249
60plus.smokefree.gov,9,103
60plus.smokefree.gov,14,103
60plus.smokefree.gov,17,102
60plus.smokefree.gov,18,213
60plus.smokefree.gov,19,101
60plus.smokefree.gov,21,101
60plus.smokefree.gov,27,3917
60plus.smokefree.gov,28,11937
60plus.smokefree.gov,29,12141
60plus.smokefree.gov,30,10779
60plus.smokefree.gov,31,7567
60plus.smokefree.gov,32,9318
60plus.smokefree.gov,33,531
60plus.smokefree.gov,34,349
60plus.smokefree.gov,35,221
60plus.smokefree.gov,36,232
60plus.smokefree.gov,37,414
60plus.smokefree.gov,38,216
60plus.smokefree.gov,39,434
60plus.smokefree.gov,40,239
60plus.smokefree.gov,42,243
60plus.smokefree.gov,44,103
60plus.smokefree.gov,45,103
60plus.smokefree.gov,46,241
60plus.smokefree.gov,47,220
aasis.omha.hhs.gov,1,942
aasis.omha.hhs.gov,2,1166
aasis.omha.hhs.gov,3,1119
aasis.omha.hhs.gov,4,1003
aasis.omha.hhs.gov,5,964
aasis.omha.hhs.gov,6,982
aasis.omha.hhs.gov,7,974
aasis.omha.hhs.gov,8,962
aasis.omha.hhs.gov,9,935
aasis.omha.hhs.gov,10,924
aasis.omha.hhs.gov,11,1009
aasis.omha.hhs.gov,12,963
aasis.omha.hhs.gov,13,988
aasis.omha.hhs.gov,14,987
aasis.omha.hhs.gov,15,1031
aasis.omha.hhs.gov,16,1004
aasis.omha.hhs.gov,17,1003
aasis.omha.hhs.gov,18,1038
aasis.omha.hhs.gov,19,1046
aasis.omha.hhs.gov,20,1162
aasis.omha.hhs.gov,21,1005
aasis.omha.hhs.gov,22,837
aasis.omha.hhs.gov,23,1026
aasis.omha.hhs.gov,24,1150
aasis.omha.hhs.gov,25,1041
aasis.omha.hhs.gov,26,1105
aasis.omha.hhs.gov,27,720
aasis.omha.hhs.gov,28,1042
aasis.omha.hhs.gov,29,972
aasis.omha.hhs.gov,30,1065
aasis.omha.hhs.gov,31,1030
aasis.omha.hhs.gov,32,1049
aasis.omha.hhs.gov,33,1064
aasis.omha.hhs.gov,34,1001
aasis.omha.hhs.gov,35,969
aasis.omha.hhs.gov,36,817
aasis.omha.hhs.gov,37,1055
aasis.omha.hhs.gov,38,1082
aasis.omha.hhs.gov,39,1014
aasis.omha.hhs.gov,40,1033
aasis.omha.hhs.gov,41,993
aasis.omha.hhs.gov,42,1041
aasis.omha.hhs.gov,43,1033
aasis.omha.hhs.gov,44,993
aasis.omha.hhs.gov,45,1028
aasis.omha.hhs.gov,46,1088
aasis.omha.hhs.gov,47,1012
aasis.omha.hhs.gov,48,556
aasis.omha.hhs.gov,49,1022
aasis.omha.hhs.gov,50,1034
aasis.omha.hhs.gov,51,881
aasis.omha.hhs.gov,52,410
accessdata.fda.gov,1,284773
accessdata.fda.gov,2,334749
accessdata.fda.gov,3,337281
accessdata.fda.gov,4,336673
accessdata.fda.gov,5,352280
accessdata.fda.gov,6,340163
accessdata.fda.gov,7,359525
accessdata.fda.gov,8,340889
accessdata.fda.gov,9,361787
accessdata.fda.gov,10,350581
accessdata.fda.gov,11,352553
accessdata.fda.gov,12,352493
accessdata.fda.gov,13,351780
accessdata.fda.gov,14,351351
accessdata.fda.gov,15,362730
accessdata.fda.gov,16,333344
accessdata.fda.gov,17,345678
accessdata.fda.gov,18,320732
accessdata.fda.gov,19,357376
accessdata.fda.gov,20,370807
accessdata.fda.gov,21,359300
accessdata.fda.gov,22,320846
accessdata.fda.gov,23,338805
accessdata.fda.gov,24,353516
accessdata.fda.gov,25,359442
accessdata.fda.gov,26,352102
accessdata.fda.gov,27,310571
accessdata.fda.gov,28,360975
accessdata.fda.gov,29,370614
accessdata.fda.gov,30,369171
accessdata.fda.gov,31,356553
accessdata.fda.gov,32,345511
accessdata.fda.gov,33,330337
accessdata.fda.gov,34,358139
accessdata.fda.gov,35,355775
accessdata.fda.gov,36,327301
accessdata.fda.gov,37,362824
accessdata.fda.gov,38,375719
accessdata.fda.gov,39,384814
accessdata.fda.gov,40,346813
accessdata.fda.gov,41,351301
accessdata.fda.gov,42,363511
accessdata.fda.gov,43,363822
accessdata.fda.gov,44,360585
accessdata.fda.gov,45,379781
accessdata.fda.gov,46,371626
accessdata.fda.gov,47,379397
accessdata.fda.gov,48,287817
accessdata.fda.gov,49,354999
accessdata.fda.gov,50,351569
accessdata.fda.gov,51,312802
accessdata.fda.gov,52,196734
accessgudid.nlm.nih.gov,1,24326
accessgudid.nlm.nih.gov,2,26090
accessgudid.nlm.nih.gov,3,25828
accessgudid.nlm.nih.gov,4,26874
accessgudid.nlm.nih.gov,5,27430
accessgudid.nlm.nih.gov,6,27242
accessgudid.nlm.nih.gov,7,28438
accessgudid.nlm.nih.gov,8,28154
accessgudid.nlm.nih.gov,9,27758
accessgudid.nlm.nih.gov,10,27731
accessgudid.nlm.nih.gov,11,29195
accessgudid.nlm.nih.gov,12,27582
accessgudid.nlm.nih.gov,13,28138
accessgudid.nlm.nih.gov,14,26700
accessgudid.nlm.nih.gov,15,26830
accessgudid.nlm.nih.gov,16,23735
accessgudid.nlm.nih.gov,17,26354
accessgudid.nlm.nih.gov,18,25056
accessgudid.nlm.nih.gov,19,28048
accessgudid.nlm.nih.gov,20,27887
accessgudid.nlm.nih.gov,21,27182
accessgudid.nlm.nih.gov,22,24411
accessgudid.nlm.nih.gov,23,27503
accessgudid.nlm.nih.gov,24,28130
accessgudid.nlm.nih.gov,25,29220
accessgudid.nlm.nih.gov,26,28885
accessgudid.nlm.nih.gov,27,23052
accessgudid.nlm.nih.gov,28,28201
accessgudid.nlm.nih.gov,29,28914
accessgudid.nlm.nih.gov,30,30494
accessgudid.nlm.nih.gov,31,30885
accessgudid.nlm.nih.gov,32,30069
accessgudid.nlm.nih.gov,33,28152
accessgudid.nlm.nih.gov,34,32886
accessgudid.nlm.nih.gov,35,30957
accessgudid.nlm.nih.gov,36,26845
accessgudid.nlm.nih.gov,37,31669
accessgudid.nlm.nih.gov,38,31919
accessgudid.nlm.nih.gov,39,32846
accessgudid.nlm.nih.gov,40,30629
accessgudid.nlm.nih.gov,41,31270
accessgudid.nlm.nih.gov,42,31637
accessgudid.nlm.nih.gov,43,33310
accessgudid.nlm.nih.gov,44,31321
accessgudid.nlm.nih.gov,45,33132
accessgudid.nlm.nih.gov,46,33264
accessgudid.nlm.nih.gov,47,35045
accessgudid.nlm.nih.gov,48,26677
accessgudid.nlm.nih.gov,49,34885
accessgudid.nlm.nih.gov,50,33960
accessgudid.nlm.nih.gov,51,32103
accessgudid.nlm.nih.gov,52,19876
account.mymedicare.gov,1,16564
account.mymedicare.gov,2,10123
account.mymedicare.gov,3,9555
account.mymedicare.gov,4,8778
account.mymedicare.gov,5,8874
account.mymedicare.gov,6,9239
account.mymedicare.gov,7,8287
account.mymedicare.gov,8,7998
account.mymedicare.gov,9,8254
account.mymedicare.gov,10,7864
account.mymedicare.gov,11,7689
account.mymedicare.gov,12,3563
account.mymedicare.gov,13,1658
account.mymedicare.gov,14,1238
account.mymedicare.gov,15,1368
account.mymedicare.gov,16,1099
account.mymedicare.gov,17,1239
account.mymedicare.gov,18,1176
account.mymedicare.gov,19,1199
account.mymedicare.gov,20,1375
account.mymedicare.gov,21,1259
account.mymedicare.gov,22,1159
account.mymedicare.gov,23,1177
account.mymedicare.gov,24,1110
account.mymedicare.gov,25,1164
account.mymedicare.gov,26,1296
account.mymedicare.gov,27,791
account.mymedicare.gov,28,1584
account.mymedicare.gov,29,1634
account.mymedicare.gov,30,2149
account.mymedicare.gov,31,3312
account.mymedicare.gov,32,3225
account.mymedicare.gov,33,3530
account.mymedicare.gov,34,3416
account.mymedicare.gov,35,8954
