week,visits
1,41576767
2,34564124
3,35054924
4,34851314
5,36540111
6,37304071
7,36746465
8,36789422
9,37679278
10,66910191
11,77163343
12,81321719
13,83022236
14,82802371
15,83212182
16,75343643
17,79466199
18,78225771
19,77840098
20,78631167
21,74833485
22,70355714
23,70471889
24,71160349
25,70417668
26,69884260
27,64284030
28,69022650
29,68512990
30,67601607
31,66761541
32,66300430
33,66750972
34,69625088
35,70775687
36,71861804
37,77443259
38,79295056
39,82872338
40,81044958
41,82921587
42,84766301
43,85062975
44,85146918
45,89429430
46,88171350
47,89922721
48,77712932
49,88148089
50,82623807
51,64350033
52,51547031
