date,cases,deaths,daily_cases,daily_deaths
2020-01-21,1,0,1.0,0.0
2020-01-22,1,0,0.0,0.0
2020-01-23,1,0,0.0,0.0
2020-01-24,2,0,1.0,0.0
2020-01-25,3,0,1.0,0.0
2020-01-26,5,0,2.0,0.0
2020-01-27,5,0,0.0,0.0
2020-01-28,5,0,0.0,0.0
2020-01-29,5,0,0.0,0.0
2020-01-30,6,0,1.0,0.0
2020-01-31,7,0,1.0,0.0
2020-02-01,8,0,1.0,0.0
2020-02-02,11,0,3.0,0.0
2020-02-03,11,0,0.0,0.0
2020-02-04,11,0,0.0,0.0
2020-02-05,12,0,1.0,0.0
2020-02-06,12,0,0.0,0.0
2020-02-07,12,0,0.0,0.0
2020-02-08,12,0,0.0,0.0
2020-02-09,12,0,0.0,0.0
2020-02-10,13,0,1.0,0.0
2020-02-11,13,0,0.0,0.0
2020-02-12,14,0,1.0,0.0
2020-02-13,15,0,1.0,0.0
2020-02-14,15,0,0.0,0.0
2020-02-15,15,0,0.0,0.0
2020-02-16,15,0,0.0,0.0
2020-02-17,25,0,10.0,0.0
2020-02-18,25,0,0.0,0.0
2020-02-19,25,0,0.0,0.0
2020-02-20,27,0,2.0,0.0
2020-02-21,30,0,3.0,0.0
2020-02-22,30,0,0.0,0.0
2020-02-23,30,0,0.0,0.0
2020-02-24,43,0,13.0,0.0
2020-02-25,45,0,2.0,0.0
2020-02-26,60,0,15.0,0.0
2020-02-27,60,0,0.0,0.0
2020-02-28,65,0,5.0,0.0
2020-02-29,70,1,5.0,1.0
2020-03-01,88,3,18.0,2.0
2020-03-02,104,6,16.0,3.0
2020-03-03,125,10,21.0,4.0
2020-03-04,161,12,36.0,2.0
2020-03-05,228,12,67.0,0.0
2020-03-06,311,15,83.0,3.0
2020-03-07,428,19,117.0,4.0
2020-03-08,547,22,119.0,3.0
2020-03-09,748,26,201.0,4.0
2020-03-10,1018,31,270.0,5.0
2020-03-11,1263,37,245.0,6.0
2020-03-12,1668,43,405.0,6.0
2020-03-13,2224,50,556.0,7.0
2020-03-14,2898,60,674.0,10.0
2020-03-15,3600,68,702.0,8.0
2020-03-16,4507,91,907.0,23.0
2020-03-17,5906,117,1399.0,26.0
2020-03-18,8350,162,2444.0,45.0
2020-03-19,12393,212,4043.0,50.0
2020-03-20,18012,277,5619.0,65.0
2020-03-21,24528,360,6516.0,83.0
2020-03-22,33073,458,8545.0,98.0
2020-03-23,43505,579,10432.0,121.0
2020-03-24,53938,785,10433.0,206.0
2020-03-25,68572,1054,14634.0,269.0
2020-03-26,85570,1353,16998.0,299.0
2020-03-27,102900,1770,17330.0,417.0
2020-03-28,123966,2300,21066.0,530.0
2020-03-29,142486,2718,18520.0,418.0
2020-03-30,163955,3368,21469.0,650.0
2020-03-31,188461,4304,24506.0,936.0
2020-04-01,215391,5325,26930.0,1021.0
2020-04-02,245108,6541,29717.0,1216.0
2020-04-03,277426,7932,32318.0,1391.0
2020-04-04,312525,9488,35099.0,1556.0
2020-04-05,338141,10856,25616.0,1368.0
2020-04-06,369057,12382,30916.0,1526.0
2020-04-07,399394,14616,30337.0,2234.0
2020-04-08,431214,16701,31820.0,2085.0
2020-04-09,465913,18821,34699.0,2120.0
2020-04-10,499386,21084,33473.0,2263.0
2020-04-11,531106,23168,31720.0,2084.0
2020-04-12,558249,24849,27143.0,1681.0
2020-04-13,584018,26613,25769.0,1764.0
2020-04-14,610709,29318,26691.0,2705.0
2020-04-15,640742,32070,30033.0,2752.0
2020-04-16,672355,34418,31613.0,2348.0
2020-04-17,703864,36707,31509.0,2289.0
2020-04-18,732262,38659,28398.0,1952.0
2020-04-19,757596,40179,25334.0,1520.0
2020-04-20,784991,42016,27395.0,1837.0
2020-04-21,810505,44688,25514.0,2672.0
2020-04-22,839336,47059,28831.0,2371.0
2020-04-23,873112,49228,33776.0,2169.0
2020-04-24,909853,51360,36741.0,2132.0
2020-04-25,944261,53326,34408.0,1966.0
2020-04-26,970996,54580,26735.0,1254.0
2020-04-27,994193,56022,23197.0,1442.0
2020-04-28,1018846,58416,24653.0,2394.0
2020-04-29,1045401,60930,26555.0,2514.0
2020-04-30,1075758,63140,30357.0,2210.0
2020-05-01,1109728,64902,33970.0,1762.0
2020-05-02,1139202,66485,29474.0,1583.0
2020-05-03,1165342,67816,26140.0,1331.0
2020-05-04,1187304,68905,21962.0,1089.0
2020-05-05,1211011,71139,23707.0,2234.0
2020-05-06,1235519,73847,24508.0,2708.0
2020-05-07,1263995,75805,28476.0,1958.0
2020-05-08,1291643,77380,27648.0,1575.0
2020-05-09,1316511,78834,24868.0,1454.0
2020-05-10,1336828,79765,20317.0,931.0
2020-05-11,1354449,80747,17621.0,982.0
2020-05-12,1376749,82400,22300.0,1653.0
2020-05-13,1397894,84168,21145.0,1768.0
2020-05-14,1424856,85906,26962.0,1738.0
2020-05-15,1451093,87499,26237.0,1593.0
2020-05-16,1474752,88724,23659.0,1225.0
2020-05-17,1493766,89568,19014.0,844.0
2020-05-18,1515593,90414,21827.0,846.0
2020-05-19,1536570,91934,20977.0,1520.0
2020-05-20,1559640,93411,23070.0,1477.0
