domain,week,visits
acl.gov,34,3699
acl.gov,35,25400
acl.gov,36,30193
acl.gov,37,26752
acl.gov,38,27895
acl.gov,39,29694
acl.gov,40,25261
acl.gov,41,29748
acl.gov,42,26217
acl.gov,43,28395
acl.gov,44,31611
acl.gov,45,25946
acl.gov,46,27560
acl.gov,47,34008
acl.gov,48,18996
acl.gov,49,28889
acl.gov,50,25941
acl.gov,51,25455
acl.gov,52,19828
acl.gov,53,11814
agingstats.gov,44,299
agingstats.gov,49,126
ahrq.gov,1,52918
ahrq.gov,2,114180
ahrq.gov,3,127133
ahrq.gov,4,131858
ahrq.gov,5,136045
ahrq.gov,6,145841
ahrq.gov,7,147449
ahrq.gov,8,147178
ahrq.gov,9,147549
ahrq.gov,10,144855
ahrq.gov,11,137181
ahrq.gov,12,116043
ahrq.gov,13,127006
ahrq.gov,14,127937
ahrq.gov,15,132407
ahrq.gov,16,143972
ahrq.gov,17,146962
ahrq.gov,18,134556
ahrq.gov,19,117599
ahrq.gov,20,120417
ahrq.gov,21,117902
ahrq.gov,22,119294
ahrq.gov,23,122912
ahrq.gov,24,120401
ahrq.gov,25,115151
ahrq.gov,26,124005
ahrq.gov,27,110480
ahrq.gov,28,122871
ahrq.gov,29,129573
ahrq.gov,30,122806
ahrq.gov,31,119209
ahrq.gov,32,116735
ahrq.gov,33,117670
ahrq.gov,34,114989
ahrq.gov,35,120802
ahrq.gov,36,131639
ahrq.gov,37,141750
ahrq.gov,38,155323
ahrq.gov,39,152787
ahrq.gov,40,153190
ahrq.gov,41,162274
ahrq.gov,42,163963
ahrq.gov,43,158561
ahrq.gov,44,159827
ahrq.gov,45,175617
ahrq.gov,46,179193
ahrq.gov,47,151212
ahrq.gov,48,122342
ahrq.gov,49,140405
ahrq.gov,50,119149
ahrq.gov,51,102559
ahrq.gov,52,69080
ahrq.gov,53,55535
cancer.gov,1,653832
cancer.gov,2,1252099
cancer.gov,3,1388817
cancer.gov,4,1400085
cancer.gov,5,1414920
