cases,deaths,daily_cases,daily_deaths
151846609,2554587,1784137.0,22746.0
163509858,2717081,1537280.0,23184.0
172747160,2868173,1193205.0,21595.0
180579322,3026398,1041614.0,22080.0
187023661,3181427,824413.0,22054.0
191981230,3329568,638046.0,21801.0
195629707,3448905,464676.0,13496.0
198983112,3551397,475351.0,14329.0
202064370,3639348,410578.0,11667.0
205110282,3712470,422706.0,9851.0
207790896,3772865,380337.0,7466.0
210653353,3822495,440195.0,6931.0
213833730,3866884,447650.0,5705.0
217096900,3912767,486431.0,6963.0
220509591,3952947,472324.0,5270.0
223551956,3988406,407863.0,4948.0
226087441,4022579,344520.0,4887.0
228299203,4056404,286799.0,4633.0
230054017,4086814,231261.0,4274.0
231463448,4116134,176959.0,3944.0
232563464,4147025,140625.0,4653.0
233198030,4170220,57004.0,2646.0
233767507,4189007,101993.0,2525.0
234375033,4204683,77932.0,2102.0
234944333,4219848,83172.0,2153.0
235762717,4232190,139564.0,1499.0
236794208,4242362,159756.0,1571.0
238273319,4255763,226134.0,1913.0
240480385,4268490,365069.0,1883.0
243942034,4284419,558425.0,2519.0
248840221,4307105,772331.0,3612.0
254958255,4337189,916095.0,4634.0
262052227,4379961,1047723.0,7057.0
269613593,4438899,1098369.0,9071.0
277564862,4510984,1129290.0,10917.0
284702109,4587741,1022674.0,11581.0
292254799,4683253,1037906.0,14085.0
298504307,4783889,839336.0,14239.0
303978844,4880260,748687.0,13302.0
308865456,4968061,675957.0,12481.0
313117573,5047855,585035.0,10712.0
316859891,5128622,508507.0,11623.0
320388375,5198447,510730.0,9447.0
323990169,5259145,515236.0,8525.0
327817281,5317048,587460.0,7966.0
332326163,5380811,655824.0,10025.0
336467993,5434507,502568.0,5491.0
341398294,5489604,849600.0,9568.0
347253069,5553175,836754.0,9004.0
353339011,5616197,929624.0,9012.0
362072779,5686648,1433265.0,10057.0
268546562,4105972,2444938.0,8945.0
61301147,1050007,640638.0,5644.0
