report_name,report_agency,domain,visits,week,year
domain,health-human-services,cdc.gov,5241452,52,2021
domain,health-human-services,vaccines.gov,282967,52,2021
domain,health-human-services,covid.cdc.gov,188302,52,2021
domain,health-human-services,vacunas.gov,16038,52,2021
domain,health-human-services,cdc.gov,4307284,52,2021
domain,health-human-services,vaccines.gov,268031,52,2021
domain,health-human-services,covid.cdc.gov,165201,52,2021
domain,health-human-services,vacunas.gov,14398,52,2021
domain,health-human-services,cdc.gov,4848804,52,2021
domain,health-human-services,vaccines.gov,310864,52,2021
domain,health-human-services,covid.cdc.gov,206012,52,2021
domain,health-human-services,vacunas.gov,12421,52,2021
domain,health-human-services,cdc.gov,6723763,52,2021
domain,health-human-services,vaccines.gov,428513,52,2021
domain,health-human-services,covid.cdc.gov,282063,52,2021
domain,health-human-services,vacunas.gov,16201,52,2021
domain,health-human-services,cdc.gov,7096165,52,2021
domain,health-human-services,vaccines.gov,456058,52,2021
domain,health-human-services,covid.cdc.gov,313301,52,2021
domain,health-human-services,vacunas.gov,16135,52,2021
domain,health-human-services,cdc.gov,7739849,52,2021
domain,health-human-services,vaccines.gov,483612,52,2021
domain,health-human-services,covid.cdc.gov,305085,52,2021
domain,health-human-services,vacunas.gov,16006,52,2021
domain,health-human-services,cdc.gov,6851368,52,2021
domain,health-human-services,vaccines.gov,476577,52,2021
domain,health-human-services,covid.cdc.gov,295250,52,2021
domain,health-human-services,vacunas.gov,16060,52,2021
domain,health-human-services,cdc.gov,3983885,51,2021
domain,health-human-services,vaccines.gov,309075,51,2021
domain,health-human-services,covid.cdc.gov,154417,51,2021
domain,health-human-services,vacunas.gov,11665,51,2021
domain,health-human-services,cdc.gov,3172477,51,2021
domain,health-human-services,vaccines.gov,214549,51,2021
domain,health-human-services,covid.cdc.gov,116955,51,2021
domain,health-human-services,vacunas.gov,8489,51,2021
domain,health-human-services,cdc.gov,4191553,51,2021
domain,health-human-services,vaccines.gov,245364,51,2021
domain,health-human-services,covid.cdc.gov,149259,51,2021
domain,health-human-services,vacunas.gov,7270,51,2021
domain,health-human-services,cdc.gov,4951966,51,2021
domain,health-human-services,vaccines.gov,386721,51,2021
domain,health-human-services,covid.cdc.gov,206454,51,2021
domain,health-human-services,vacunas.gov,10217,51,2021
domain,health-human-services,cdc.gov,5044554,51,2021
domain,health-human-services,vaccines.gov,524113,51,2021
domain,health-human-services,covid.cdc.gov,257861,51,2021
domain,health-human-services,vacunas.gov,11664,51,2021
domain,health-human-services,cdc.gov,5173733,51,2021
domain,health-human-services,vaccines.gov,614223,51,2021
