week,visits
1,59271929
2,63106330
3,61599336
4,62279157
5,57809064
6,56939588
7,53777242
8,56685358
9,61083315
10,64472562
11,61090969
12,60131282
13,57760366
14,60784345
15,58767338
16,56669918
17,57542877
18,53599892
19,57288061
20,53583165
21,50321655
22,46536743
23,48549323
24,46528506
25,48091946
26,45705150
27,45066579
28,49247060
29,52734605
30,59895755
31,61432721
32,63082375
33,62949294
34,67807454
35,58055186
36,57284179
37,57910595
38,56621425
39,57863627
40,56223282
41,54346529
42,59469201
43,58760223
44,60493592
45,60510858
46,60065710
47,52074503
48,63255282
49,58478569
50,61085825
51,59183948
52,55458953
53,18794935
