domain,week,year,visits
3dprint.nih.gov,1,2022,5045
3dprint.nih.gov,2,2022,5164
3dprint.nih.gov,3,2022,5292
3dprint.nih.gov,4,2022,5144
3dprint.nih.gov,5,2022,4893
3dprint.nih.gov,6,2022,4914
3dprint.nih.gov,7,2022,5444
3dprint.nih.gov,8,2022,4631
3dprint.nih.gov,9,2022,4506
3dprint.nih.gov,10,2022,4337
3dprint.nih.gov,11,2022,4247
3dprint.nih.gov,12,2022,4510
3dprint.nih.gov,13,2022,4555
3dprint.nih.gov,14,2022,4525
3dprint.nih.gov,15,2022,4040
3dprint.nih.gov,16,2022,4231
3dprint.nih.gov,17,2022,4124
3dprint.nih.gov,18,2022,4099
3dprint.nih.gov,19,2022,3613
3dprint.nih.gov,20,2022,3737
3dprint.nih.gov,21,2022,3781
3dprint.nih.gov,22,2022,3542
3dprint.nih.gov,23,2022,3735
3dprint.nih.gov,24,2022,3509
3dprint.nih.gov,25,2022,3827
3dprint.nih.gov,26,2022,3402
3dprint.nih.gov,27,2022,3479
3dprint.nih.gov,28,2022,3371
3dprint.nih.gov,29,2022,3790
3dprint.nih.gov,30,2022,3370
3dprint.nih.gov,31,2022,3221
3dprint.nih.gov,32,2022,3491
3dprint.nih.gov,33,2022,3682
3dprint.nih.gov,34,2022,3459
3dprint.nih.gov,35,2022,3656
3dprint.nih.gov,36,2022,3727
3dprint.nih.gov,37,2022,4011
3dprint.nih.gov,38,2022,3580
3dprint.nih.gov,39,2022,4177
3dprint.nih.gov,40,2022,4189
3dprint.nih.gov,41,2022,4584
3dprint.nih.gov,42,2022,4652
3dprint.nih.gov,43,2022,4273
3dprint.nih.gov,44,2022,4700
3dprint.nih.gov,45,2022,4809
3dprint.nih.gov,46,2022,4825
3dprint.nih.gov,47,2022,4281
3dprint.nih.gov,48,2022,4822
3dprint.nih.gov,49,2022,4697
3dprint.nih.gov,50,2022,4101
3dprint.nih.gov,51,2022,3331
3dprint.nih.gov,52,2022,3071
4innovation-impl.cms.gov,2,2022,182
4innovation-impl.cms.gov,4,2022,118
4innovation-impl.cms.gov,8,2022,328
4innovation-impl.cms.gov,13,2022,122
4innovation-impl.cms.gov,16,2022,133
4innovation-impl.cms.gov,17,2022,453
4innovation-impl.cms.gov,21,2022,168
4innovation-impl.cms.gov,24,2022,237
4innovation-impl.cms.gov,32,2022,259
4innovation-impl.cms.gov,44,2022,1540
4innovation-impl.cms.gov,50,2022,126
4innovation-impl.cms.gov,51,2022,106
4innovation-test.cms.gov,1,2022,400
4innovation-test.cms.gov,2,2022,122
4innovation-test.cms.gov,3,2022,322
4innovation-test.cms.gov,5,2022,942
4innovation-test.cms.gov,6,2022,897
4innovation-test.cms.gov,7,2022,234
4innovation-test.cms.gov,8,2022,115
4innovation-test.cms.gov,9,2022,304
4innovation-test.cms.gov,10,2022,241
4innovation-test.cms.gov,11,2022,618
4innovation-test.cms.gov,12,2022,285
4innovation-test.cms.gov,13,2022,269
4innovation-test.cms.gov,16,2022,240
4innovation-test.cms.gov,18,2022,560
4innovation-test.cms.gov,19,2022,343
4innovation-test.cms.gov,20,2022,370
4innovation-test.cms.gov,21,2022,289
4innovation-test.cms.gov,22,2022,330
4innovation-test.cms.gov,23,2022,500
4innovation-test.cms.gov,30,2022,207
4innovation-test.cms.gov,35,2022,140
4innovation-test.cms.gov,36,2022,152
4innovation-test.cms.gov,38,2022,123
4innovation-test.cms.gov,39,2022,104
4innovation-test.cms.gov,40,2022,275
4innovation-test.cms.gov,41,2022,441
4innovation-test.cms.gov,42,2022,469
4innovation-test.cms.gov,46,2022,131
4innovation-test.cms.gov,48,2022,342
4innovation-test.cms.gov,49,2022,240
4innovation-test.cms.gov,50,2022,104
4innovation-test.cms.gov,51,2022,212
4innovation-test.cms.gov,52,2022,299
4innovation.cms.gov,1,2022,4433
4innovation.cms.gov,2,2022,3805
4innovation.cms.gov,3,2022,2810
4innovation.cms.gov,4,2022,3636
4innovation.cms.gov,5,2022,3419
4innovation.cms.gov,6,2022,3175
4innovation.cms.gov,7,2022,3187
4innovation.cms.gov,8,2022,2555
4innovation.cms.gov,9,2022,3055
4innovation.cms.gov,10,2022,2689
4innovation.cms.gov,11,2022,2386
4innovation.cms.gov,12,2022,2334
4innovation.cms.gov,13,2022,2818
4innovation.cms.gov,14,2022,3937
4innovation.cms.gov,15,2022,3539
4innovation.cms.gov,16,2022,3171
4innovation.cms.gov,17,2022,2632
4innovation.cms.gov,18,2022,3809
4innovation.cms.gov,19,2022,3689
4innovation.cms.gov,20,2022,4666
4innovation.cms.gov,21,2022,3320
4innovation.cms.gov,22,2022,2845
4innovation.cms.gov,23,2022,4488
4innovation.cms.gov,24,2022,3145
4innovation.cms.gov,25,2022,2343
4innovation.cms.gov,26,2022,2563
4innovation.cms.gov,27,2022,3224
4innovation.cms.gov,28,2022,3985
4innovation.cms.gov,29,2022,4147
4innovation.cms.gov,30,2022,5172
4innovation.cms.gov,31,2022,6220
4innovation.cms.gov,32,2022,4387
4innovation.cms.gov,33,2022,3877
4innovation.cms.gov,34,2022,3793
4innovation.cms.gov,35,2022,3548
4innovation.cms.gov,36,2022,3626
4innovation.cms.gov,37,2022,3093
4innovation.cms.gov,38,2022,2761
4innovation.cms.gov,39,2022,3266
4innovation.cms.gov,40,2022,3234
4innovation.cms.gov,41,2022,2432
4innovation.cms.gov,42,2022,2563
4innovation.cms.gov,43,2022,2924
4innovation.cms.gov,44,2022,3542
4innovation.cms.gov,45,2022,4384
4innovation.cms.gov,46,2022,3735
4innovation.cms.gov,47,2022,2389
4innovation.cms.gov,48,2022,4745
4innovation.cms.gov,49,2022,6206
4innovation.cms.gov,50,2022,4697
4innovation.cms.gov,51,2022,4017
4innovation.cms.gov,52,2022,2348
58000.nih.gov,1,2022,388
58000.nih.gov,2,2022,553
58000.nih.gov,3,2022,394
58000.nih.gov,4,2022,603
58000.nih.gov,5,2022,675
58000.nih.gov,6,2022,377
58000.nih.gov,7,2022,641
58000.nih.gov,8,2022,502
58000.nih.gov,9,2022,596
58000.nih.gov,10,2022,464
58000.nih.gov,11,2022,541
58000.nih.gov,12,2022,657
58000.nih.gov,13,2022,713
58000.nih.gov,14,2022,715
58000.nih.gov,15,2022,652
58000.nih.gov,16,2022,696
58000.nih.gov,17,2022,708
58000.nih.gov,18,2022,676
58000.nih.gov,19,2022,556
58000.nih.gov,20,2022,625
58000.nih.gov,21,2022,749
58000.nih.gov,22,2022,671
58000.nih.gov,23,2022,596
58000.nih.gov,24,2022,609
58000.nih.gov,25,2022,399
58000.nih.gov,26,2022,600
58000.nih.gov,27,2022,496
58000.nih.gov,28,2022,569
58000.nih.gov,29,2022,783
58000.nih.gov,30,2022,798
58000.nih.gov,31,2022,673
58000.nih.gov,32,2022,699
58000.nih.gov,33,2022,485
58000.nih.gov,34,2022,626
58000.nih.gov,35,2022,448
58000.nih.gov,36,2022,376
58000.nih.gov,37,2022,486
58000.nih.gov,38,2022,123
58000.nih.gov,39,2022,607
58000.nih.gov,40,2022,854
58000.nih.gov,41,2022,572
58000.nih.gov,42,2022,785
58000.nih.gov,43,2022,705
58000.nih.gov,44,2022,622
58000.nih.gov,45,2022,448
58000.nih.gov,46,2022,1179
58000.nih.gov,47,2022,348
60plus.smokefree.gov,1,2022,1035
60plus.smokefree.gov,2,2022,935
60plus.smokefree.gov,3,2022,1244
60plus.smokefree.gov,4,2022,864
60plus.smokefree.gov,5,2022,1053
60plus.smokefree.gov,6,2022,1022
60plus.smokefree.gov,7,2022,841
60plus.smokefree.gov,8,2022,833
60plus.smokefree.gov,9,2022,986
60plus.smokefree.gov,10,2022,933
60plus.smokefree.gov,11,2022,1058
60plus.smokefree.gov,12,2022,1074
60plus.smokefree.gov,13,2022,1018
60plus.smokefree.gov,14,2022,1050
60plus.smokefree.gov,15,2022,1110
60plus.smokefree.gov,16,2022,1047
60plus.smokefree.gov,17,2022,974
60plus.smokefree.gov,18,2022,996
60plus.smokefree.gov,19,2022,989
60plus.smokefree.gov,20,2022,1158
60plus.smokefree.gov,21,2022,807
60plus.smokefree.gov,22,2022,800
60plus.smokefree.gov,23,2022,508
60plus.smokefree.gov,24,2022,858
60plus.smokefree.gov,25,2022,655
60plus.smokefree.gov,26,2022,756
60plus.smokefree.gov,27,2022,603
60plus.smokefree.gov,28,2022,636
60plus.smokefree.gov,29,2022,694
60plus.smokefree.gov,30,2022,624
60plus.smokefree.gov,31,2022,770
60plus.smokefree.gov,32,2022,844
60plus.smokefree.gov,33,2022,916
60plus.smokefree.gov,34,2022,760
60plus.smokefree.gov,35,2022,781
60plus.smokefree.gov,36,2022,766
60plus.smokefree.gov,37,2022,1030
60plus.smokefree.gov,38,2022,1204
60plus.smokefree.gov,39,2022,1246
60plus.smokefree.gov,40,2022,1238
60plus.smokefree.gov,41,2022,1261
60plus.smokefree.gov,42,2022,1267
60plus.smokefree.gov,43,2022,1230
60plus.smokefree.gov,44,2022,1141
60plus.smokefree.gov,45,2022,1267
60plus.smokefree.gov,46,2022,1295
60plus.smokefree.gov,47,2022,1122
60plus.smokefree.gov,48,2022,1095
60plus.smokefree.gov,49,2022,941
60plus.smokefree.gov,50,2022,703
60plus.smokefree.gov,51,2022,385
60plus.smokefree.gov,52,2022,844
aasis.omha.hhs.gov,1,2022,865
aasis.omha.hhs.gov,2,2022,911
aasis.omha.hhs.gov,3,2022,742
aasis.omha.hhs.gov,4,2022,803
aasis.omha.hhs.gov,5,2022,846
aasis.omha.hhs.gov,6,2022,771
aasis.omha.hhs.gov,7,2022,821
aasis.omha.hhs.gov,8,2022,796
aasis.omha.hhs.gov,9,2022,853
aasis.omha.hhs.gov,10,2022,804
aasis.omha.hhs.gov,11,2022,785
aasis.omha.hhs.gov,12,2022,767
aasis.omha.hhs.gov,13,2022,789
aasis.omha.hhs.gov,14,2022,705
aasis.omha.hhs.gov,15,2022,677
aasis.omha.hhs.gov,16,2022,702
aasis.omha.hhs.gov,17,2022,672
aasis.omha.hhs.gov,18,2022,668
aasis.omha.hhs.gov,19,2022,608
aasis.omha.hhs.gov,20,2022,676
aasis.omha.hhs.gov,21,2022,632
aasis.omha.hhs.gov,22,2022,548
aasis.omha.hhs.gov,23,2022,529
aasis.omha.hhs.gov,24,2022,704
aasis.omha.hhs.gov,25,2022,459
aasis.omha.hhs.gov,26,2022,506
aasis.omha.hhs.gov,27,2022,540
aasis.omha.hhs.gov,28,2022,636
aasis.omha.hhs.gov,29,2022,631
aasis.omha.hhs.gov,30,2022,509
aasis.omha.hhs.gov,31,2022,673
aasis.omha.hhs.gov,32,2022,539
aasis.omha.hhs.gov,33,2022,629
aasis.omha.hhs.gov,34,2022,494
aasis.omha.hhs.gov,35,2022,463
aasis.omha.hhs.gov,36,2022,493
aasis.omha.hhs.gov,37,2022,524
aasis.omha.hhs.gov,38,2022,601
aasis.omha.hhs.gov,39,2022,495
aasis.omha.hhs.gov,40,2022,587
aasis.omha.hhs.gov,41,2022,375
aasis.omha.hhs.gov,42,2022,571
aasis.omha.hhs.gov,43,2022,505
aasis.omha.hhs.gov,44,2022,462
aasis.omha.hhs.gov,45,2022,477
aasis.omha.hhs.gov,46,2022,520
aasis.omha.hhs.gov,47,2022,229
aasis.omha.hhs.gov,48,2022,381
aasis.omha.hhs.gov,49,2022,362
aasis.omha.hhs.gov,50,2022,349
access.fda.gov,1,2022,8266
access.fda.gov,2,2022,9104
access.fda.gov,3,2022,8882
access.fda.gov,4,2022,8524
access.fda.gov,5,2022,7363
access.fda.gov,6,2022,8169
access.fda.gov,7,2022,8416
access.fda.gov,8,2022,8329
access.fda.gov,9,2022,8265
access.fda.gov,10,2022,8610
access.fda.gov,11,2022,8051
access.fda.gov,12,2022,7631
access.fda.gov,13,2022,8021
access.fda.gov,14,2022,7533
access.fda.gov,15,2022,6831
access.fda.gov,16,2022,7611
access.fda.gov,17,2022,7573
access.fda.gov,18,2022,6937
access.fda.gov,19,2022,7603
access.fda.gov,20,2022,9887
access.fda.gov,21,2022,9680
access.fda.gov,22,2022,7947
access.fda.gov,23,2022,8289
access.fda.gov,24,2022,9176
access.fda.gov,25,2022,9008
access.fda.gov,26,2022,7906
access.fda.gov,27,2022,7471
access.fda.gov,28,2022,7809
access.fda.gov,29,2022,8570
access.fda.gov,30,2022,9075
access.fda.gov,31,2022,8550
access.fda.gov,32,2022,8678
access.fda.gov,33,2022,7833
access.fda.gov,34,2022,8258
access.fda.gov,35,2022,8866
access.fda.gov,36,2022,7760
access.fda.gov,37,2022,8456
access.fda.gov,38,2022,8790
access.fda.gov,39,2022,8847
access.fda.gov,40,2022,11780
access.fda.gov,41,2022,11181
access.fda.gov,42,2022,12120
access.fda.gov,43,2022,12515
access.fda.gov,44,2022,12118
access.fda.gov,45,2022,17292
access.fda.gov,46,2022,14614
access.fda.gov,47,2022,10970
access.fda.gov,48,2022,13899
access.fda.gov,49,2022,15656
access.fda.gov,50,2022,16639
access.fda.gov,51,2022,14657
access.fda.gov,52,2022,13651
access.preprod.fda.gov,30,2022,228
accessclinicaldata.niaid.nih.gov,3,2022,286
accessclinicaldata.niaid.nih.gov,7,2022,6456
accessclinicaldata.niaid.nih.gov,8,2022,15179
accessclinicaldata.niaid.nih.gov,9,2022,18557
accessclinicaldata.niaid.nih.gov,10,2022,14076
accessclinicaldata.niaid.nih.gov,11,2022,12001
accessclinicaldata.niaid.nih.gov,12,2022,441
accessclinicaldata.niaid.nih.gov,13,2022,6951
accessclinicaldata.niaid.nih.gov,14,2022,7847
accessclinicaldata.niaid.nih.gov,15,2022,396
accessclinicaldata.niaid.nih.gov,16,2022,12372
accessclinicaldata.niaid.nih.gov,17,2022,2520
accessclinicaldata.niaid.nih.gov,18,2022,10969
accessclinicaldata.niaid.nih.gov,19,2022,4145
accessclinicaldata.niaid.nih.gov,21,2022,4167
accessclinicaldata.niaid.nih.gov,22,2022,6570
accessclinicaldata.niaid.nih.gov,23,2022,4107
accessclinicaldata.niaid.nih.gov,24,2022,5973
accessclinicaldata.niaid.nih.gov,25,2022,11978
accessclinicaldata.niaid.nih.gov,26,2022,12225
accessclinicaldata.niaid.nih.gov,28,2022,9084
accessclinicaldata.niaid.nih.gov,33,2022,3481
accessclinicaldata.niaid.nih.gov,37,2022,120
accessclinicaldata.niaid.nih.gov,38,2022,122
accessclinicaldata.niaid.nih.gov,39,2022,112
accessclinicaldata.niaid.nih.gov,40,2022,101
accessclinicaldata.niaid.nih.gov,41,2022,113
accessclinicaldata.niaid.nih.gov,42,2022,105
accessclinicaldata.niaid.nih.gov,45,2022,111
accessclinicaldata.niaid.nih.gov,46,2022,106
accessclinicaldata.niaid.nih.gov,47,2022,107
accessclinicaldata.niaid.nih.gov,48,2022,111
accessclinicaldata.niaid.nih.gov,49,2022,104
accessclinicaldata.niaid.nih.gov,50,2022,101
accessclinicaldata.niaid.nih.gov,51,2022,111
accessclinicaldata.niaid.nih.gov,52,2022,101
accessdata.fda.gov,1,2022,411104
accessdata.fda.gov,2,2022,436797
accessdata.fda.gov,3,2022,419538
accessdata.fda.gov,4,2022,416512
accessdata.fda.gov,5,2022,390818
accessdata.fda.gov,6,2022,443418
accessdata.fda.gov,7,2022,428359
accessdata.fda.gov,8,2022,386561
accessdata.fda.gov,9,2022,407367
accessdata.fda.gov,10,2022,408641
accessdata.fda.gov,11,2022,390231
accessdata.fda.gov,12,2022,406419
accessdata.fda.gov,13,2022,404117
accessdata.fda.gov,14,2022,465716
accessdata.fda.gov,15,2022,515877
accessdata.fda.gov,16,2022,533948
accessdata.fda.gov,17,2022,448535
accessdata.fda.gov,18,2022,373643
accessdata.fda.gov,19,2022,424591
accessdata.fda.gov,20,2022,399935
accessdata.fda.gov,21,2022,385930
accessdata.fda.gov,22,2022,378253
accessdata.fda.gov,23,2022,375564
accessdata.fda.gov,24,2022,356912
accessdata.fda.gov,25,2022,362496
accessdata.fda.gov,26,2022,389861
accessdata.fda.gov,27,2022,320090
accessdata.fda.gov,28,2022,352362
accessdata.fda.gov,29,2022,372349
accessdata.fda.gov,30,2022,367196
accessdata.fda.gov,31,2022,442276
accessdata.fda.gov,32,2022,237839
accessdata.fda.gov,33,2022,160035
accessdata.fda.gov,34,2022,159426
accessdata.fda.gov,35,2022,181545
accessdata.fda.gov,36,2022,141012
accessdata.fda.gov,37,2022,161840
accessdata.fda.gov,38,2022,150631
accessdata.fda.gov,39,2022,153135
accessdata.fda.gov,40,2022,143602
accessdata.fda.gov,41,2022,154661
accessdata.fda.gov,42,2022,162741
accessdata.fda.gov,43,2022,148565
accessdata.fda.gov,44,2022,154749
accessdata.fda.gov,45,2022,160815
accessdata.fda.gov,46,2022,155866
accessdata.fda.gov,47,2022,124695
accessdata.fda.gov,48,2022,161964
accessdata.fda.gov,49,2022,181418
accessdata.fda.gov,50,2022,151082
accessdata.fda.gov,51,2022,134753
accessdata.fda.gov,52,2022,98148
accessgudid.nlm.nih.gov,1,2022,29839
accessgudid.nlm.nih.gov,2,2022,31714
accessgudid.nlm.nih.gov,3,2022,31543
accessgudid.nlm.nih.gov,4,2022,33461
accessgudid.nlm.nih.gov,5,2022,34491
accessgudid.nlm.nih.gov,6,2022,35562
accessgudid.nlm.nih.gov,7,2022,36372
accessgudid.nlm.nih.gov,8,2022,34823
accessgudid.nlm.nih.gov,9,2022,34835
accessgudid.nlm.nih.gov,10,2022,35691
accessgudid.nlm.nih.gov,11,2022,34908
accessgudid.nlm.nih.gov,12,2022,36309
accessgudid.nlm.nih.gov,13,2022,35409
accessgudid.nlm.nih.gov,14,2022,35668
accessgudid.nlm.nih.gov,15,2022,33155
accessgudid.nlm.nih.gov,16,2022,34900
accessgudid.nlm.nih.gov,17,2022,35017
accessgudid.nlm.nih.gov,18,2022,33652
accessgudid.nlm.nih.gov,19,2022,35945
accessgudid.nlm.nih.gov,20,2022,34993
accessgudid.nlm.nih.gov,21,2022,35330
accessgudid.nlm.nih.gov,22,2022,32227
accessgudid.nlm.nih.gov,23,2022,36251
accessgudid.nlm.nih.gov,24,2022,36655
accessgudid.nlm.nih.gov,25,2022,36844
accessgudid.nlm.nih.gov,26,2022,35752
accessgudid.nlm.nih.gov,27,2022,31874
accessgudid.nlm.nih.gov,28,2022,36871
accessgudid.nlm.nih.gov,29,2022,37633
accessgudid.nlm.nih.gov,30,2022,37658
accessgudid.nlm.nih.gov,31,2022,37723
accessgudid.nlm.nih.gov,32,2022,38096
accessgudid.nlm.nih.gov,33,2022,38556
accessgudid.nlm.nih.gov,34,2022,40255
accessgudid.nlm.nih.gov,35,2022,38590
accessgudid.nlm.nih.gov,36,2022,33843
accessgudid.nlm.nih.gov,37,2022,38843
accessgudid.nlm.nih.gov,38,2022,40198
accessgudid.nlm.nih.gov,39,2022,39940
accessgudid.nlm.nih.gov,40,2022,37647
accessgudid.nlm.nih.gov,41,2022,39179
accessgudid.nlm.nih.gov,42,2022,37860
accessgudid.nlm.nih.gov,43,2022,37338
accessgudid.nlm.nih.gov,44,2022,40654
accessgudid.nlm.nih.gov,45,2022,40491
accessgudid.nlm.nih.gov,46,2022,42686
accessgudid.nlm.nih.gov,47,2022,29905
accessgudid.nlm.nih.gov,48,2022,40220
accessgudid.nlm.nih.gov,49,2022,39423
accessgudid.nlm.nih.gov,50,2022,41074
accessgudid.nlm.nih.gov,51,2022,37965
accessgudid.nlm.nih.gov,52,2022,24829
account.ncbi.nlm.nih.gov,1,2022,104994
account.ncbi.nlm.nih.gov,2,2022,111162
account.ncbi.nlm.nih.gov,3,2022,121166
account.ncbi.nlm.nih.gov,4,2022,120195
account.ncbi.nlm.nih.gov,5,2022,118330
account.ncbi.nlm.nih.gov,6,2022,128504
account.ncbi.nlm.nih.gov,7,2022,131856
account.ncbi.nlm.nih.gov,8,2022,129772
account.ncbi.nlm.nih.gov,9,2022,140532
account.ncbi.nlm.nih.gov,10,2022,141314
account.ncbi.nlm.nih.gov,11,2022,137971
account.ncbi.nlm.nih.gov,12,2022,144474
account.ncbi.nlm.nih.gov,13,2022,143302
account.ncbi.nlm.nih.gov,14,2022,147793
account.ncbi.nlm.nih.gov,15,2022,140277
account.ncbi.nlm.nih.gov,16,2022,153188
account.ncbi.nlm.nih.gov,17,2022,144933
account.ncbi.nlm.nih.gov,18,2022,135203
account.ncbi.nlm.nih.gov,19,2022,143205
account.ncbi.nlm.nih.gov,20,2022,139353
account.ncbi.nlm.nih.gov,21,2022,133383
account.ncbi.nlm.nih.gov,22,2022,121677
account.ncbi.nlm.nih.gov,23,2022,162104
account.ncbi.nlm.nih.gov,24,2022,153554
account.ncbi.nlm.nih.gov,25,2022,136102
account.ncbi.nlm.nih.gov,26,2022,115707
account.ncbi.nlm.nih.gov,27,2022,108730
account.ncbi.nlm.nih.gov,28,2022,109649
