domain,week,visits
cdc.gov,1,4193497
cdc.gov,2,6039732
cdc.gov,3,6083975
cdc.gov,4,6290103
cdc.gov,5,6858350
cdc.gov,6,7007960
cdc.gov,7,7063205
cdc.gov,8,6922881
cdc.gov,9,6907958
cdc.gov,10,7366667
cdc.gov,11,7084549
cdc.gov,12,7255918
cdc.gov,13,7508566
cdc.gov,14,7495353
cdc.gov,15,7950154
cdc.gov,16,7091417
cdc.gov,17,7894674
cdc.gov,18,8011984
cdc.gov,19,7451327
cdc.gov,20,7366054
cdc.gov,21,6765372
cdc.gov,22,6421732
cdc.gov,23,6496405
cdc.gov,24,6367749
cdc.gov,25,6247236
cdc.gov,26,6239367
cdc.gov,27,5669752
cdc.gov,28,6193122
cdc.gov,29,6274696
cdc.gov,30,6116482
cdc.gov,31,6043256
cdc.gov,32,6023104
cdc.gov,33,6100616
cdc.gov,34,6356519
cdc.gov,35,6542834
cdc.gov,36,6692985
cdc.gov,37,7476064
cdc.gov,38,7675257
cdc.gov,39,8102428
cdc.gov,40,7998626
cdc.gov,41,7854079
cdc.gov,42,7556830
cdc.gov,43,7443389
cdc.gov,44,7306533
cdc.gov,45,7629982
cdc.gov,46,7493626
cdc.gov,47,8105310
cdc.gov,48,6754161
cdc.gov,49,7447961
cdc.gov,50,6846715
cdc.gov,51,5595866
cdc.gov,52,4592193
vaccines.gov,1,29829
vaccines.gov,2,45317
vaccines.gov,3,45757
vaccines.gov,4,47101
vaccines.gov,5,58828
vaccines.gov,6,86253
vaccines.gov,7,75607
vaccines.gov,8,65899
vaccines.gov,9,70900
vaccines.gov,10,81279
vaccines.gov,11,73338
vaccines.gov,12,70185
vaccines.gov,13,81515
vaccines.gov,14,72916
vaccines.gov,15,75188
vaccines.gov,16,69832
vaccines.gov,17,82473
vaccines.gov,18,86792
vaccines.gov,19,70045
vaccines.gov,20,64870
vaccines.gov,21,54150
vaccines.gov,22,47307
vaccines.gov,23,46502
vaccines.gov,24,46126
vaccines.gov,25,44660
vaccines.gov,26,41298
vaccines.gov,27,34751
vaccines.gov,28,39559
vaccines.gov,29,40197
vaccines.gov,30,40695
vaccines.gov,31,40955
vaccines.gov,32,48624
vaccines.gov,33,47311
vaccines.gov,34,48494
vaccines.gov,35,48848
vaccines.gov,36,51750
vaccines.gov,37,55802
vaccines.gov,38,59075
vaccines.gov,39,61633
vaccines.gov,40,61328
vaccines.gov,41,62915
vaccines.gov,42,64102
vaccines.gov,43,63693
vaccines.gov,44,61059
vaccines.gov,45,63263
vaccines.gov,46,63538
vaccines.gov,47,62930
vaccines.gov,48,47181
vaccines.gov,49,58653
vaccines.gov,50,51210
vaccines.gov,51,35925
vaccines.gov,52,23246
