language,week,visits
(not set),10,849
(not set),11,1311
(not set),12,1294
(not set),13,1420
(not set),14,1281
(not set),15,1367
(not set),16,1238
(not set),17,1310
(not set),18,1182
(not set),19,1204
(not set),20,1264
(not set),21,1248
(not set),22,1036
(not set),23,1127
(not set),24,1030
(not set),25,1026
(not set),26,954
(not set),27,848
(not set),28,1087
(not set),29,1013
(not set),30,989
(not set),31,1064
(not set),32,990
(not set),33,1001
(not set),34,1112
(not set),35,1135
(not set),36,1193
(not set),37,1208
(not set),38,1299
(not set),39,1164
(not set),40,1240
(not set),41,1170
(not set),42,1207
(not set),43,1194
(not set),44,1124
(not set),45,1200
(not set),46,1113
(not set),47,1210
(not set),48,1161
(not set),49,951
(not set),50,445
(not set),51,249
af-za,14,109
ar,1,48557
ar,2,58321
ar,3,60483
ar,4,65032
ar,5,66662
ar,6,66809
ar,7,67872
ar,8,69697
ar,9,71120
ar,10,185356
ar,11,233259
ar,12,254610
ar,13,261887
ar,14,216118
ar,15,206618
ar,16,218552
ar,17,203328
ar,18,171809
ar,19,132153
ar,20,134496
ar,21,114798
ar,22,89606
ar,23,83522
ar,24,115999
ar,25,116755
ar,26,114757
ar,27,116015
ar,28,124061
ar,29,126638
ar,30,123779
ar,31,112167
ar,32,87029
ar,33,91394
ar,34,111836
ar,35,111948
ar,36,131569
ar,37,152172
ar,38,151972
ar,39,168682
ar,40,174956
ar,41,191568
ar,42,206923
ar,43,208526
ar,44,210759
ar,45,202287
ar,46,213771
ar,47,216953
ar,48,214963
ar,49,210529
ar,50,184374
ar,51,156828
ar,52,144500
ar-ae,1,9915
ar-ae,2,11707
ar-ae,3,11791
ar-ae,4,12874
ar-ae,5,13512
ar-ae,6,13692
ar-ae,7,13695
ar-ae,8,13902
ar-ae,9,15774
ar-ae,10,32749
ar-ae,11,39604
ar-ae,12,43364
ar-ae,13,46957
ar-ae,14,35347
ar-ae,15,37498
ar-ae,16,43159
ar-ae,17,41173
ar-ae,18,36743
ar-ae,19,27346
ar-ae,20,28028
ar-ae,21,23855
ar-ae,22,18919
ar-ae,23,20297
ar-ae,24,24617
ar-ae,25,23966
ar-ae,26,22874
ar-ae,27,23644
ar-ae,28,25190
ar-ae,29,25501
