domain,week,visits
ahrq.gov,1,63961
ahrq.gov,2,105716
ahrq.gov,3,121020
ahrq.gov,4,123733
ahrq.gov,5,131513
ahrq.gov,6,132981
ahrq.gov,7,133909
ahrq.gov,8,130279
ahrq.gov,9,133334
ahrq.gov,10,134368
ahrq.gov,11,140870
ahrq.gov,12,140285
ahrq.gov,13,144222
ahrq.gov,14,145818
ahrq.gov,15,146325
ahrq.gov,16,129386
ahrq.gov,17,130751
ahrq.gov,18,122622
ahrq.gov,19,118740
ahrq.gov,20,117000
ahrq.gov,21,109927
ahrq.gov,22,107331
ahrq.gov,23,112116
ahrq.gov,24,111729
ahrq.gov,25,110942
ahrq.gov,26,105379
ahrq.gov,27,94462
ahrq.gov,28,107437
ahrq.gov,29,105243
ahrq.gov,30,106180
ahrq.gov,31,101618
ahrq.gov,32,93979
ahrq.gov,33,92557
ahrq.gov,34,96323
ahrq.gov,35,103922
ahrq.gov,36,107596
ahrq.gov,37,123903
ahrq.gov,38,124928
ahrq.gov,39,124378
ahrq.gov,40,120803
ahrq.gov,41,121340
ahrq.gov,42,123857
ahrq.gov,43,123022
ahrq.gov,44,117880
ahrq.gov,45,95675
ahrq.gov,46,115
ahrq.gov,51,19700
ahrq.gov,52,57732
cancer.gov,1,645625
cancer.gov,2,966124
cancer.gov,3,1000000
cancer.gov,4,1015790
cancer.gov,5,1042398
cancer.gov,6,1124162
cancer.gov,7,1087913
cancer.gov,8,1100722
cancer.gov,9,1109411
cancer.gov,10,1142149
cancer.gov,11,1211288
cancer.gov,12,1311850
cancer.gov,13,1414146
cancer.gov,14,1479637
cancer.gov,15,1390469
cancer.gov,16,1117623
cancer.gov,17,1304540
cancer.gov,18,1233740
cancer.gov,19,1332225
cancer.gov,20,1399228
cancer.gov,21,1414274
cancer.gov,22,1349538
cancer.gov,23,1349843
cancer.gov,24,1404568
cancer.gov,25,1349317
cancer.gov,26,1235556
cancer.gov,27,1150808
cancer.gov,28,1091851
cancer.gov,29,614920
cancer.gov,30,609627
cancer.gov,31,619974
cancer.gov,32,649134
cancer.gov,33,686813
cancer.gov,34,738078
cancer.gov,35,780268
cancer.gov,36,785984
cancer.gov,37,792276
cancer.gov,38,800834
cancer.gov,39,865751
cancer.gov,40,857846
cancer.gov,41,862994
cancer.gov,42,896589
cancer.gov,43,1315922
cancer.gov,44,1475198
cancer.gov,45,1585264
cancer.gov,46,1578943
cancer.gov,47,1582865
cancer.gov,48,1410670
cancer.gov,49,1422503
cancer.gov,50,1306792
cancer.gov,51,1009122
cancer.gov,52,787451
cdc.gov,1,4193497
cdc.gov,2,6039732
cdc.gov,3,6083975
cdc.gov,4,6290103
cdc.gov,5,6858350
cdc.gov,6,7007960
cdc.gov,7,7063205
cdc.gov,8,6922881
cdc.gov,9,6907958
cdc.gov,10,7366667
cdc.gov,11,7084549
cdc.gov,12,7255918
cdc.gov,13,7508566
cdc.gov,14,7495353
cdc.gov,15,7950154
cdc.gov,16,7091417
cdc.gov,17,7894674
cdc.gov,18,8011984
cdc.gov,19,7451327
cdc.gov,20,7366054
cdc.gov,21,6765372
cdc.gov,22,6421732
cdc.gov,23,6496405
cdc.gov,24,6367749
cdc.gov,25,6247236
cdc.gov,26,6239367
cdc.gov,27,5669752
cdc.gov,28,6193122
cdc.gov,29,6274696
cdc.gov,30,6116482
cdc.gov,31,6043256
cdc.gov,32,6023104
cdc.gov,33,6100616
cdc.gov,34,6356519
cdc.gov,35,6542834
cdc.gov,36,6692985
cdc.gov,37,7476064
cdc.gov,38,7675257
cdc.gov,39,8102428
cdc.gov,40,7998626
cdc.gov,41,7854079
cdc.gov,42,7556830
cdc.gov,43,7443389
cdc.gov,44,7306533
cdc.gov,45,7629982
cdc.gov,46,7493626
cdc.gov,47,8105310
cdc.gov,48,6754161
cdc.gov,49,7447961
cdc.gov,50,6846715
cdc.gov,51,5595866
cdc.gov,52,4592193
childcare.gov,1,4454
childcare.gov,2,7281
childcare.gov,3,7345
childcare.gov,4,7268
childcare.gov,5,7627
childcare.gov,6,8298
childcare.gov,7,8680
childcare.gov,8,9014
childcare.gov,9,9082
childcare.gov,10,10218
childcare.gov,11,10028
childcare.gov,12,9898
childcare.gov,13,11263
childcare.gov,14,11948
childcare.gov,15,11980
childcare.gov,16,10619
childcare.gov,17,12602
childcare.gov,18,13476
childcare.gov,19,12270
childcare.gov,20,12863
childcare.gov,21,12707
childcare.gov,22,11384
childcare.gov,23,11940
childcare.gov,24,11963
childcare.gov,25,12462
childcare.gov,26,11879
childcare.gov,27,10103
childcare.gov,28,13080
childcare.gov,29,13870
childcare.gov,30,13649
childcare.gov,31,13760
childcare.gov,32,14675
childcare.gov,33,15573
childcare.gov,34,15649
childcare.gov,35,15363
childcare.gov,36,15118
childcare.gov,37,16447
childcare.gov,38,15798
childcare.gov,39,16777
childcare.gov,40,16808
childcare.gov,41,16241
childcare.gov,42,15444
childcare.gov,43,16179
childcare.gov,44,16141
childcare.gov,45,17757
childcare.gov,46,17629
childcare.gov,47,17885
childcare.gov,48,12449
childcare.gov,49,17684
childcare.gov,50,16617
childcare.gov,51,12711
childcare.gov,52,9253
clinicaltrials.gov,47,817502
clinicaltrials.gov,48,945197
clinicaltrials.gov,49,1063825
clinicaltrials.gov,50,1006729
clinicaltrials.gov,51,874859
clinicaltrials.gov,52,645603
cms.gov,1,695630
cms.gov,2,1081425
cms.gov,3,1094247
cms.gov,4,1059231
cms.gov,5,1103424
cms.gov,6,1125046
cms.gov,7,1132050
cms.gov,8,1081741
cms.gov,9,1109986
cms.gov,10,1096728
cms.gov,11,1059881
cms.gov,12,1050757
cms.gov,13,1093353
cms.gov,14,1065869
cms.gov,15,1067279
cms.gov,16,989786
cms.gov,17,1069010
cms.gov,18,1037188
cms.gov,19,997476
cms.gov,20,1003811
cms.gov,21,962279
cms.gov,22,840670
cms.gov,23,976486
cms.gov,24,961951
cms.gov,25,981186
cms.gov,26,985178
cms.gov,27,718183
cms.gov,28,990307
cms.gov,29,1000045
cms.gov,30,973838
cms.gov,31,1041135
cms.gov,32,1029847
cms.gov,33,1008341
cms.gov,34,1034480
cms.gov,35,1007122
cms.gov,36,880244
cms.gov,37,1071665
cms.gov,38,1092969
cms.gov,39,1134169
cms.gov,40,1165766
cms.gov,41,1127034
cms.gov,42,1099038
cms.gov,43,1126232
cms.gov,44,1127131
cms.gov,45,1203375
cms.gov,46,1158560
cms.gov,47,1103847
cms.gov,48,684929
cms.gov,49,1035467
cms.gov,50,948000
cms.gov,51,850385
cms.gov,52,498868
collegedrinkingprevention.gov,1,3709
collegedrinkingprevention.gov,2,4791
collegedrinkingprevention.gov,3,4453
collegedrinkingprevention.gov,4,4377
collegedrinkingprevention.gov,5,4868
collegedrinkingprevention.gov,6,5705
collegedrinkingprevention.gov,7,5872
collegedrinkingprevention.gov,8,5694
collegedrinkingprevention.gov,9,6084
collegedrinkingprevention.gov,10,5635
collegedrinkingprevention.gov,11,5619
collegedrinkingprevention.gov,12,5954
collegedrinkingprevention.gov,13,5576
collegedrinkingprevention.gov,14,5853
collegedrinkingprevention.gov,15,5787
collegedrinkingprevention.gov,16,4721
collegedrinkingprevention.gov,17,5254
collegedrinkingprevention.gov,18,6047
collegedrinkingprevention.gov,19,6013
collegedrinkingprevention.gov,20,5233
collegedrinkingprevention.gov,21,4256
collegedrinkingprevention.gov,22,3914
collegedrinkingprevention.gov,23,3671
collegedrinkingprevention.gov,24,3868
collegedrinkingprevention.gov,25,3857
collegedrinkingprevention.gov,26,3535
collegedrinkingprevention.gov,27,3365
collegedrinkingprevention.gov,28,4571
collegedrinkingprevention.gov,29,3209
collegedrinkingprevention.gov,30,3504
collegedrinkingprevention.gov,31,4338
collegedrinkingprevention.gov,32,4046
collegedrinkingprevention.gov,33,3900
collegedrinkingprevention.gov,34,4130
collegedrinkingprevention.gov,35,4652
collegedrinkingprevention.gov,36,3836
collegedrinkingprevention.gov,37,5027
collegedrinkingprevention.gov,38,5336
collegedrinkingprevention.gov,39,5786
collegedrinkingprevention.gov,40,5335
collegedrinkingprevention.gov,41,5106
collegedrinkingprevention.gov,42,5286
collegedrinkingprevention.gov,43,5907
collegedrinkingprevention.gov,44,5660
collegedrinkingprevention.gov,45,5150
collegedrinkingprevention.gov,46,5108
collegedrinkingprevention.gov,47,5421
collegedrinkingprevention.gov,48,3242
collegedrinkingprevention.gov,49,5127
collegedrinkingprevention.gov,50,4443
collegedrinkingprevention.gov,51,2831
collegedrinkingprevention.gov,52,1653
cuidadodesalud.gov,1,23402
cuidadodesalud.gov,2,35531
cuidadodesalud.gov,3,38338
cuidadodesalud.gov,4,37835
cuidadodesalud.gov,5,58145
cuidadodesalud.gov,6,49124
cuidadodesalud.gov,7,58570
cuidadodesalud.gov,8,52629
cuidadodesalud.gov,9,59381
cuidadodesalud.gov,10,47431
cuidadodesalud.gov,11,50109
cuidadodesalud.gov,12,53364
cuidadodesalud.gov,13,42268
cuidadodesalud.gov,14,38718
cuidadodesalud.gov,15,48209
cuidadodesalud.gov,16,36577
cuidadodesalud.gov,17,30440
cuidadodesalud.gov,18,29117
cuidadodesalud.gov,19,26945
cuidadodesalud.gov,20,29775
cuidadodesalud.gov,21,33665
cuidadodesalud.gov,22,30278
cuidadodesalud.gov,23,27829
cuidadodesalud.gov,24,32095
cuidadodesalud.gov,25,30955
cuidadodesalud.gov,26,30147
cuidadodesalud.gov,27,21929
cuidadodesalud.gov,28,26508
cuidadodesalud.gov,29,28288
cuidadodesalud.gov,30,29329
cuidadodesalud.gov,31,34737
cuidadodesalud.gov,32,25519
cuidadodesalud.gov,33,28455
cuidadodesalud.gov,34,25993
cuidadodesalud.gov,35,25719
cuidadodesalud.gov,36,23756
cuidadodesalud.gov,37,27191
cuidadodesalud.gov,38,30841
cuidadodesalud.gov,39,52382
cuidadodesalud.gov,40,35049
cuidadodesalud.gov,41,37751
cuidadodesalud.gov,42,37783
cuidadodesalud.gov,43,43012
cuidadodesalud.gov,44,102072
cuidadodesalud.gov,45,104039
cuidadodesalud.gov,46,97356
cuidadodesalud.gov,47,91996
cuidadodesalud.gov,48,67822
cuidadodesalud.gov,49,106988
cuidadodesalud.gov,50,171441
cuidadodesalud.gov,51,45930
cuidadodesalud.gov,52,27196
docline.gov,1,15486
docline.gov,2,28129
docline.gov,3,28507
docline.gov,4,26492
docline.gov,5,28410
docline.gov,6,29702
