domain,week,visits,year
4innovation-dev.cms.gov,47,129,2020
4innovation-impl.cms.gov,29,117,2020
4innovation-impl.cms.gov,49,124,2020
4innovation-impl.cms.gov,51,107,2020
4innovation-test.cms.gov,29,107,2020
4innovation-test.cms.gov,42,117,2020
4innovation-test.cms.gov,43,132,2020
4innovation-test.cms.gov,44,224,2020
4innovation-test.cms.gov,45,109,2020
4innovation-test.cms.gov,46,232,2020
4innovation-test.cms.gov,48,110,2020
4innovation-test.cms.gov,49,519,2020
4innovation-test.cms.gov,50,1097,2020
4innovation-test.cms.gov,51,583,2020
4innovation-test.cms.gov,52,542,2020
4innovation-test.cms.gov,53,207,2020
4innovation.cms.gov,31,442,2020
4innovation.cms.gov,32,743,2020
4innovation.cms.gov,33,715,2020
4innovation.cms.gov,34,913,2020
4innovation.cms.gov,35,518,2020
4innovation.cms.gov,37,114,2020
4innovation.cms.gov,38,971,2020
4innovation.cms.gov,39,2061,2020
4innovation.cms.gov,40,1539,2020
4innovation.cms.gov,41,1324,2020
4innovation.cms.gov,42,1695,2020
4innovation.cms.gov,43,2299,2020
4innovation.cms.gov,44,1118,2020
4innovation.cms.gov,45,689,2020
4innovation.cms.gov,46,318,2020
4innovation.cms.gov,47,465,2020
4innovation.cms.gov,49,842,2020
4innovation.cms.gov,50,895,2020
4innovation.cms.gov,51,827,2020
4innovation.cms.gov,52,236,2020
4innovation.cms.gov,53,114,2020
58000.nih.gov,34,259,2020
58000.nih.gov,35,457,2020
58000.nih.gov,36,103,2020
58000.nih.gov,37,401,2020
58000.nih.gov,38,236,2020
58000.nih.gov,39,452,2020
58000.nih.gov,40,455,2020
58000.nih.gov,41,363,2020
58000.nih.gov,42,372,2020
58000.nih.gov,43,463,2020
58000.nih.gov,44,472,2020
58000.nih.gov,45,336,2020
58000.nih.gov,46,227,2020
58000.nih.gov,47,248,2020
58000.nih.gov,48,101,2020
58000.nih.gov,49,423,2020
58000.nih.gov,50,102,2020
