domain,week,visits
4innovation-dev.cms.gov,47,129
4innovation-impl.cms.gov,29,117
4innovation-impl.cms.gov,49,124
4innovation-impl.cms.gov,51,107
4innovation-test.cms.gov,29,107
4innovation-test.cms.gov,42,117
4innovation-test.cms.gov,43,132
4innovation-test.cms.gov,44,224
4innovation-test.cms.gov,45,109
4innovation-test.cms.gov,46,232
4innovation-test.cms.gov,48,110
4innovation-test.cms.gov,49,519
4innovation-test.cms.gov,50,1097
4innovation-test.cms.gov,51,583
4innovation-test.cms.gov,52,542
4innovation-test.cms.gov,53,207
4innovation.cms.gov,31,442
4innovation.cms.gov,32,743
4innovation.cms.gov,33,715
4innovation.cms.gov,34,913
4innovation.cms.gov,35,518
4innovation.cms.gov,37,114
4innovation.cms.gov,38,971
4innovation.cms.gov,39,2061
4innovation.cms.gov,40,1539
4innovation.cms.gov,41,1324
4innovation.cms.gov,42,1695
4innovation.cms.gov,43,2299
4innovation.cms.gov,44,1118
4innovation.cms.gov,45,689
4innovation.cms.gov,46,318
4innovation.cms.gov,47,465
4innovation.cms.gov,49,842
4innovation.cms.gov,50,895
4innovation.cms.gov,51,827
4innovation.cms.gov,52,236
4innovation.cms.gov,53,114
58000.nih.gov,34,259
58000.nih.gov,35,457
58000.nih.gov,36,103
58000.nih.gov,37,401
58000.nih.gov,38,236
58000.nih.gov,39,452
58000.nih.gov,40,455
58000.nih.gov,41,363
58000.nih.gov,42,372
58000.nih.gov,43,463
58000.nih.gov,44,472
58000.nih.gov,45,336
58000.nih.gov,46,227
58000.nih.gov,47,248
58000.nih.gov,48,101
58000.nih.gov,49,423
58000.nih.gov,50,102
60plus.smokefree.gov,1,113
60plus.smokefree.gov,3,103
60plus.smokefree.gov,6,115
60plus.smokefree.gov,7,105
60plus.smokefree.gov,18,103
60plus.smokefree.gov,28,114
60plus.smokefree.gov,29,123
60plus.smokefree.gov,34,246
60plus.smokefree.gov,35,328
60plus.smokefree.gov,36,363
60plus.smokefree.gov,37,101
60plus.smokefree.gov,38,370
60plus.smokefree.gov,39,588
60plus.smokefree.gov,40,480
60plus.smokefree.gov,41,356
60plus.smokefree.gov,42,220
60plus.smokefree.gov,43,432
60plus.smokefree.gov,44,457
60plus.smokefree.gov,45,640
60plus.smokefree.gov,46,658
60plus.smokefree.gov,47,363
60plus.smokefree.gov,48,602
60plus.smokefree.gov,49,426
60plus.smokefree.gov,52,126
aasis.omha.hhs.gov,1,692
aasis.omha.hhs.gov,2,993
aasis.omha.hhs.gov,3,1081
aasis.omha.hhs.gov,4,997
aasis.omha.hhs.gov,5,958
aasis.omha.hhs.gov,6,1091
aasis.omha.hhs.gov,7,1059
aasis.omha.hhs.gov,8,1078
aasis.omha.hhs.gov,9,1062
aasis.omha.hhs.gov,10,1057
aasis.omha.hhs.gov,11,1068
aasis.omha.hhs.gov,12,928
aasis.omha.hhs.gov,13,939
aasis.omha.hhs.gov,14,936
aasis.omha.hhs.gov,15,1087
aasis.omha.hhs.gov,16,1022
aasis.omha.hhs.gov,17,1025
aasis.omha.hhs.gov,18,946
aasis.omha.hhs.gov,19,947
aasis.omha.hhs.gov,20,1095
aasis.omha.hhs.gov,21,946
aasis.omha.hhs.gov,22,806
aasis.omha.hhs.gov,23,959
aasis.omha.hhs.gov,24,968
aasis.omha.hhs.gov,25,1037
aasis.omha.hhs.gov,26,1024
aasis.omha.hhs.gov,27,782
aasis.omha.hhs.gov,28,1031
aasis.omha.hhs.gov,29,1055
aasis.omha.hhs.gov,30,1070
aasis.omha.hhs.gov,31,1078
aasis.omha.hhs.gov,32,1127
aasis.omha.hhs.gov,33,1104
aasis.omha.hhs.gov,34,1111
aasis.omha.hhs.gov,35,1089
aasis.omha.hhs.gov,36,1115
aasis.omha.hhs.gov,37,957
aasis.omha.hhs.gov,38,1252
aasis.omha.hhs.gov,39,1097
aasis.omha.hhs.gov,40,1110
aasis.omha.hhs.gov,41,1012
aasis.omha.hhs.gov,42,986
aasis.omha.hhs.gov,43,966
aasis.omha.hhs.gov,44,991
aasis.omha.hhs.gov,45,1032
aasis.omha.hhs.gov,46,1011
aasis.omha.hhs.gov,47,1131
aasis.omha.hhs.gov,48,509
aasis.omha.hhs.gov,49,1047
aasis.omha.hhs.gov,50,1061
aasis.omha.hhs.gov,51,1072
aasis.omha.hhs.gov,52,582
aasis.omha.hhs.gov,53,700
access.fda.gov,35,1042
access.fda.gov,36,9935
access.fda.gov,37,8824
access.fda.gov,38,9716
access.fda.gov,39,9366
access.fda.gov,40,20079
access.fda.gov,41,20392
access.fda.gov,42,16355
access.fda.gov,43,15806
access.fda.gov,44,14630
access.fda.gov,45,13820
access.fda.gov,46,13536
access.fda.gov,47,13632
access.fda.gov,48,11443
access.fda.gov,49,22197
