domain,week,visits,year
cdc.gov,1,5317765,2020
cdc.gov,2,7151079,2020
cdc.gov,3,7489067,2020
cdc.gov,4,15308603,2020
cdc.gov,5,24072377,2020
cdc.gov,6,18770947,2020
cdc.gov,7,14709754,2020
cdc.gov,8,15532526,2020
cdc.gov,9,40004519,2020
cdc.gov,10,57222260,2020
cdc.gov,11,134927564,2020
cdc.gov,12,143132550,2020
cdc.gov,13,99541724,2020
cdc.gov,14,80381520,2020
cdc.gov,15,60141112,2020
cdc.gov,16,46119625,2020
cdc.gov,17,39158432,2020
cdc.gov,18,39287527,2020
cdc.gov,19,33194083,2020
cdc.gov,20,30848149,2020
cdc.gov,21,32191649,2020
cdc.gov,22,25939178,2020
cdc.gov,23,21373534,2020
cdc.gov,24,21495546,2020
cdc.gov,25,22250500,2020
cdc.gov,26,28704761,2020
cdc.gov,27,29913749,2020
cdc.gov,28,31381187,2020
cdc.gov,29,32726959,2020
cdc.gov,30,29566922,2020
cdc.gov,31,26749305,2020
cdc.gov,32,25197938,2020
cdc.gov,33,23432162,2020
cdc.gov,34,22413536,2020
cdc.gov,35,24700952,2020
cdc.gov,36,23923476,2020
cdc.gov,37,20494278,2020
cdc.gov,38,20817138,2020
cdc.gov,39,22865311,2020
cdc.gov,40,22714752,2020
cdc.gov,41,23984497,2020
cdc.gov,42,22161776,2020
cdc.gov,43,23115966,2020
cdc.gov,44,23976934,2020
cdc.gov,45,21537681,2020
cdc.gov,46,26018986,2020
cdc.gov,47,29157060,2020
cdc.gov,48,29126805,2020
cdc.gov,49,27607433,2020
cdc.gov,50,28033712,2020
cdc.gov,51,31466417,2020
cdc.gov,52,25257456,2020
cdc.gov,53,28635081,2020
covid.cdc.gov,35,1773431,2020
covid.cdc.gov,36,2513633,2020
covid.cdc.gov,37,1001818,2020
covid.cdc.gov,38,1040789,2020
covid.cdc.gov,39,1236772,2020
covid.cdc.gov,40,1013469,2020
covid.cdc.gov,41,980246,2020
covid.cdc.gov,42,1124095,2020
covid.cdc.gov,43,1311873,2020
covid.cdc.gov,44,1525999,2020
covid.cdc.gov,45,1121653,2020
covid.cdc.gov,46,1701171,2020
covid.cdc.gov,47,1766651,2020
covid.cdc.gov,48,1233101,2020
covid.cdc.gov,49,1364844,2020
covid.cdc.gov,50,1428519,2020
covid.cdc.gov,51,1241277,2020
covid.cdc.gov,52,1175807,2020
covid.cdc.gov,53,1509223,2020
vaccines.gov,1,30048,2020
vaccines.gov,2,45778,2020
vaccines.gov,3,50597,2020
vaccines.gov,4,53554,2020
vaccines.gov,5,56214,2020
vaccines.gov,6,56332,2020
vaccines.gov,7,56101,2020
vaccines.gov,8,56714,2020
vaccines.gov,9,64277,2020
vaccines.gov,10,65552,2020
vaccines.gov,11,66820,2020
vaccines.gov,12,65080,2020
vaccines.gov,13,62337,2020
vaccines.gov,14,69650,2020
vaccines.gov,15,65168,2020
vaccines.gov,16,70363,2020
vaccines.gov,17,76549,2020
vaccines.gov,18,69869,2020
vaccines.gov,19,65919,2020
vaccines.gov,20,60489,2020
vaccines.gov,21,54369,2020
vaccines.gov,22,44702,2020
vaccines.gov,23,42153,2020
vaccines.gov,24,42578,2020
vaccines.gov,25,41934,2020
vaccines.gov,26,50301,2020
vaccines.gov,27,49299,2020
vaccines.gov,28,48861,2020
vaccines.gov,29,52081,2020
vaccines.gov,30,55208,2020
vaccines.gov,31,52263,2020
vaccines.gov,32,52306,2020
vaccines.gov,33,61428,2020
vaccines.gov,34,60371,2020
vaccines.gov,35,60657,2020
vaccines.gov,36,63227,2020
vaccines.gov,37,71172,2020
vaccines.gov,38,91332,2020
vaccines.gov,39,105137,2020
vaccines.gov,40,76563,2020
vaccines.gov,41,81644,2020
vaccines.gov,42,95363,2020
vaccines.gov,43,102723,2020
vaccines.gov,44,81101,2020
vaccines.gov,45,88495,2020
vaccines.gov,46,97907,2020
vaccines.gov,47,98497,2020
vaccines.gov,48,87795,2020
vaccines.gov,49,104537,2020
vaccines.gov,50,100044,2020
vaccines.gov,51,105772,2020
vaccines.gov,52,76733,2020
vaccines.gov,53,130102,2020
