week,visits
1,59399899
2,78003743
3,80491912
4,90236403
5,104282057
6,100121039
7,95289632
8,97387243
9,129492023
10,147844633
11,229626526
12,235959124
13,193376711
14,176207993
15,150619261
16,141813599
17,135745428
18,132638358
19,123883860
20,119961286
21,119487500
22,108696844
23,103045318
24,102781805
25,101060522
26,109894851
27,107210180
28,114931199
29,118073600
30,115818610
31,111169517
32,105950131
33,101948523
34,101480543
35,108534986
36,109318054
37,107262906
38,111091318
39,115776680
40,113237999
41,121273673
42,121861745
43,122759065
44,122452140
45,117970221
46,126903622
47,130459614
48,119331964
49,129660995
50,127135981
51,121859342
52,89852082
53,98568989
