year,week,visits
2021,1,59271929
2021,2,63106330
2021,3,61599336
2021,4,62279157
2021,5,57809064
2021,6,56939588
2021,7,53777242
2021,8,56685358
2021,9,61083315
2021,10,64472562
2021,11,61090969
2021,12,60131282
2021,13,57760366
2021,14,60784345
2021,15,58767338
2021,16,56669918
2021,17,57542877
2021,18,53599892
2021,19,57288061
2021,20,53583165
2021,21,50321655
2021,22,46536743
2021,23,48549323
2021,24,46528506
2021,25,48091946
2021,26,45705150
2021,27,45066579
2021,28,49247060
2021,29,52734605
2021,30,59895755
2021,31,61432721
2021,32,63082375
2021,33,62949294
2021,34,67807454
2021,35,58055186
2021,36,57284179
2021,37,57910595
2021,38,56621425
2021,39,57863627
2021,40,56223282
2021,41,54346529
2021,42,59469201
2021,43,58760223
2021,44,60493592
2021,45,60510858
2021,46,60065710
2021,47,52074503
2021,48,63255282
2021,49,58478569
2021,50,61085825
2021,51,59183948
2021,52,55458953
