date,cases,deaths,daily_cases,daily_deaths
2022-01-01,54850427,824609,161060.0,273.0
2022-01-02,55137064,824841,286637.0,232.0
2022-01-03,56155999,826491,1018935.0,1650.0
2022-01-04,57041905,828853,885906.0,2362.0
2022-01-05,57745969,830981,704064.0,2128.0
2022-01-06,58505187,832953,759218.0,1972.0
2022-01-07,59405357,835637,900170.0,2684.0
2022-01-08,59851597,836327,446240.0,690.0
2022-01-09,60166932,836728,315335.0,401.0
2022-01-10,61600909,838412,1433977.0,1684.0
2022-01-11,62370837,841092,769928.0,2680.0
2022-01-12,63251819,843853,880982.0,2761.0
2022-01-13,64120526,846110,868707.0,2257.0
2022-01-14,65053852,849101,933326.0,2991.0
2022-01-15,65477079,850099,423227.0,998.0
2022-01-16,65814886,850509,337807.0,410.0
2022-01-17,66526937,851283,712051.0,774.0
2022-01-18,67705340,854268,1178403.0,2985.0
2022-01-19,68557295,857644,851955.0,3376.0
2022-01-20,69305615,860316,748320.0,2672.0
2022-01-21,70130930,864182,825315.0,3866.0
2022-01-22,70468314,865116,337384.0,934.0
2022-01-23,70667795,865687,199481.0,571.0
2022-01-24,71699954,867866,1032159.0,2179.0
2022-01-25,72210867,870838,510913.0,2972.0
2022-01-26,72895313,874733,684446.0,3895.0
2022-01-27,73425577,877824,530264.0,3091.0
2022-01-28,73981352,881703,555775.0,3879.0
2022-01-29,74223465,883009,242113.0,1306.0
2022-01-30,74327523,883370,104058.0,361.0
2022-01-31,74989495,885943,661972.0,2573.0
2022-02-01,75285900,889525,296405.0,3582.0
2022-02-02,75610929,893156,325029.0,3631.0
2022-02-03,75923171,896178,312242.0,3022.0
2022-02-04,76236151,900154,312980.0,3976.0
2022-02-05,76359918,901022,123767.0,868.0
2022-02-06,76418395,901400,58477.0,378.0
2022-02-07,76766514,904139,348119.0,2739.0
2022-02-08,76961010,907497,194496.0,3358.0
2022-02-09,77187359,911067,226349.0,3570.0
2022-02-10,77360952,914328,173593.0,3261.0
2022-02-11,77530775,917135,169823.0,2807.0
2022-02-12,77594737,917896,63962.0,761.0
2022-02-13,77629125,918368,34388.0,472.0
2022-02-14,77835449,920954,206324.0,2586.0
2022-02-15,77950961,923804,115512.0,2850.0
2022-02-16,78092141,927110,141180.0,3306.0
2022-02-17,78196006,930297,103865.0,3187.0
2022-02-18,78305615,932788,109609.0,2491.0
2022-02-19,78351826,933480,46211.0,692.0
2022-02-20,78377993,933894,26167.0,414.0
2022-02-21,78433652,934654,55659.0,760.0
2022-02-22,78556769,937380,123117.0,2726.0
2022-02-23,78641313,940404,84544.0,3024.0
2022-02-24,78714719,943312,73406.0,2908.0
2022-02-25,78800705,946121,85986.0,2809.0
2022-02-26,78825927,946686,25222.0,565.0
2022-02-27,78835013,946883,9086.0,197.0
2022-02-28,78942813,948855,107800.0,1972.0
2022-03-01,78986396,950788,43583.0,1933.0
2022-03-02,79044542,953136,58146.0,2348.0
2022-03-03,79096279,955018,51737.0,1882.0
2022-03-04,79145866,956910,49587.0,1892.0
2022-03-05,79162481,957217,16615.0,307.0
2022-03-06,79169256,957429,6775.0,212.0
2022-03-07,79232308,959115,63052.0,1686.0
2022-03-08,79266324,960690,34016.0,1575.0
2022-03-09,79314028,962503,47704.0,1813.0
2022-03-10,79352221,964062,38193.0,1559.0
2022-03-11,79396596,965746,44375.0,1684.0
2022-03-12,79407518,966218,10922.0,472.0
2022-03-13,79413908,966361,6390.0,143.0
2022-03-14,79462956,963926,49048.0,-2435.0
2022-03-15,79511352,965449,48396.0,1523.0
2022-03-16,79550748,967482,39396.0,2033.0
2022-03-17,79586734,968690,35986.0,1208.0
2022-03-18,79623203,969733,36469.0,1043.0
2022-03-19,79635322,970065,12119.0,332.0
2022-03-20,79643175,970148,7853.0,83.0
2022-03-21,79689310,971107,46135.0,959.0
2022-03-22,79714979,972104,25669.0,997.0
2022-03-23,79762066,973459,47087.0,1355.0
2022-03-24,79799812,974441,37746.0,982.0
2022-03-25,79833549,975273,33737.0,832.0
2022-03-26,79845604,975436,12055.0,163.0
2022-03-27,79853102,975486,7498.0,50.0
2022-03-28,79895338,976396,42236.0,910.0
2022-03-29,79920966,977153,25628.0,757.0
2022-03-30,79966408,978361,45442.0,1208.0
2022-03-31,80004185,979236,37777.0,875.0
2022-04-01,80036620,979881,32435.0,645.0
2022-04-02,80048015,980018,11395.0,137.0
2022-04-03,80052942,980057,4927.0,39.0
2022-04-04,80093982,980682,41040.0,625.0
2022-04-05,80124875,981146,30893.0,464.0
2022-04-06,80174198,982263,49323.0,1117.0
2022-04-07,80209904,982971,35706.0,708.0
2022-04-08,80254009,983514,44105.0,543.0
2022-04-09,80267530,983786,13521.0,272.0
2022-04-10,80275715,983813,8185.0,27.0
2022-04-11,80325700,984247,49985.0,434.0
2022-04-12,80354734,984838,29034.0,591.0
2022-04-13,80408643,985832,53909.0,994.0
2022-04-14,80466106,986448,57463.0,616.0
2022-04-15,80513724,987171,47618.0,723.0
2022-04-16,80524627,987211,10903.0,40.0
2022-04-17,80535906,987228,11279.0,17.0
2022-04-18,80595982,987545,60076.0,317.0
2022-04-19,80646004,987999,50022.0,454.0
2022-04-20,80708901,988610,62897.0,611.0
2022-04-21,80768167,989094,59266.0,484.0
2022-04-22,80836264,989584,68097.0,490.0
2022-04-23,80855181,989681,18917.0,97.0
2022-04-24,80867572,989709,12391.0,28.0
2022-04-25,80942184,990062,74612.0,353.0
2022-04-26,80996837,990368,54653.0,306.0
2022-04-27,81081307,991039,84470.0,671.0
2022-04-28,81154876,991502,73569.0,463.0
2022-04-29,81236707,991921,81831.0,419.0
2022-04-30,81259033,992010,22326.0,89.0
2022-05-01,81274401,992033,15368.0,23.0
2022-05-02,81370245,992424,95844.0,391.0
2022-05-03,81439579,993088,69334.0,664.0
2022-05-04,81541535,995021,101956.0,1933.0
2022-05-05,81634962,995715,93427.0,694.0
